,country,Unnamed: 0_sum,Unnamed: 0_count,pl_count_sum,pl_count_count,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,pl_count
0,argentina,67475,50,375.0,50,0.22836495083337227,0.20508493932525587,1.4231785691391292,-1.4958894983632933,0.19016610191083191,0.034067950437806326,0.07014245997029113,0.0006394072624843279,0.04498409812652651,0.19324556588371058,37.888203393483415,24.59890544072374,2.300396394082644
1,australia,74944,50,1035.0,50,0.18447207066062543,0.18386376765950588,1.2333482866736718,-1.7063289834708084,0.18416512877932656,0.02175436631802099,0.05053625071980196,0.00043040858335997373,0.04191040254869656,0.147806467749105,34.056474143727485,24.33212004478375,5.77608812989706
2,austria,85188,50,865.0,50,0.22635277783140864,0.2020069320918582,1.8320768322237342,-2.085463760974623,0.1636907135320175,0.038245705637088456,0.07610470455505088,0.003705764032701207,0.05044255253422607,0.1662593985751353,38.52825469603474,25.472793344251645,5.445864123276736
3,belgium,77367,50,923.0,50,0.21103664312652157,0.20252896703522721,1.4594758148245564,-1.838761541823475,0.1601863699197684,0.0335875220750661,0.06436632447430193,0.000721427972495407,0.04805887739018827,0.1722240789778132,37.324171727699,24.152544886791745,5.476000719849861
4,bolivia,63060,50,786.0,50,0.21136584817589657,0.19941844154487934,1.4513886573976424,-1.5572397301715089,0.14159889340464804,0.03335951929535671,0.07526571179846225,0.000585964304688959,0.054300815639125775,0.17976569513109253,37.84400934906694,25.02170445537968,4.637363759002223
5,brazil,91942,50,161.0,50,0.23858433199303605,0.243480080578983,2.1244416673371744,-1.6789966370950893,0.14980037397890333,0.03305345251844501,0.12378753903746674,0.001000324000051295,0.0889221829046678,0.23176841497699596,44.118402669533445,27.467941301404366,1.096266373209247
6,bulgaria,88582,50,847.0,50,0.1983209508638498,0.1966052232847872,1.3268293278084364,-1.7417894809885952,0.16013457404584577,0.028303214053410217,0.04593622106806712,0.00432141494909627,0.048875931544757244,0.15817292551378417,36.625911146662695,21.612448404258974,4.844070864886835
7,canada,96706,50,939.0,50,0.17942059700661972,0.16513219905118634,1.2657152828028029,-1.8006382041973379,0.1909484262849056,0.02280851673626585,0.062173664138448874,0.0019665382887056547,0.04742886125450934,0.1332383561922847,33.42073739917695,23.481200763720963,5.122873493757896
8,chile,68267,50,612.0,50,0.21567279658784222,0.19980193919171968,1.3187489888396566,-1.415132338850068,0.15480966390726406,0.030013580247739414,0.07956414008057555,0.003192777422023471,0.057512936879799754,0.17647728316302524,35.818483948961365,23.720280725346345,3.5090190485646517
9,colombia,67121,50,596.0,50,0.215183891215849,0.20089639699235398,1.5710315225004816,-1.4493566131880298,0.142282100150987,0.04078812821870024,0.07017768168905449,0.0008191603202098186,0.046937679155642696,0.17328181272138327,39.41552687012283,23.962677033762063,3.5333388204161773
10,costa_rica,56087,50,941.0,50,0.21169791257715237,0.18605900658371566,1.2271515557855963,-1.5586365832523876,0.15981508633486835,0.0308562977941047,0.07291449160395269,0.0015462857309195294,0.04382529205017927,0.16520884549867015,36.52271291055712,24.126370354910303,5.37092843718254
11,czech_republic,103636,50,688.0,50,0.24061058486092404,0.2122157959406612,1.857790378873404,-2.4934687753107236,0.12028858568245061,0.04616274956540179,0.09500205381622223,0.005534683721212046,0.05481951811501551,0.1649624298650718,42.450830926819094,23.442908809668708,4.597697052751446
12,denmark,90599,50,802.0,50,0.21755704371057175,0.20910213002934172,1.5222650288786364,-2.0146289669275235,0.19028312860982954,0.030394558409943432,0.058902713310558553,0.00015544748883355173,0.048038878648837546,0.18232929383393864,37.75300996195606,24.394297087780146,5.0869023048361095
13,dominican_republic,73701,50,655.0,50,0.20493295508058557,0.1955591554901955,1.4464023106833221,-1.3739820596045702,0.15020331687865268,0.033039166627493274,0.07294206852775995,0.000893348190481171,0.036965036283836426,0.15334646036148375,34.90109250660687,22.458177416263737,3.6438212057599078
14,ecuador,62538,50,752.0,50,0.2187396277297469,0.20016855764297814,1.4141004394664285,-1.5160388914782554,0.1349556436005305,0.03263403491361176,0.06670622757707091,3.618471789674172e-05,0.05308626931943824,0.17378766313741362,36.75505218187093,24.655809322149096,4.412462782069519
15,egypt,86829,50,366.0,50,0.21734959808754792,0.19577395704507386,1.8048288283486287,-2.078045815217275,0.10582058276962644,0.04484970243840017,0.10192179976511752,0.001071013351618085,0.0447909132257504,0.16365153125322732,35.02374986209032,17.048871668439816,2.1516851829824044
16,el_salvador,59442,50,795.0,50,0.21644472740369067,0.19239531324772507,1.277517712429808,-1.5141735720731955,0.1489482534671525,0.028418753883634747,0.0666583535718364,3.665003538475817e-05,0.040523663867330646,0.15970690039066449,36.04692672013273,24.290022873104874,4.554379288707164
17,estonia,71575,50,1111.0,50,0.20994758096989236,0.19960795065691947,1.5382763884527926,-1.82869090567983,0.18700614918445715,0.028662613459194502,0.05395850695496983,0.005278281920215335,0.05058335361746806,0.1558967713991589,36.67032535148862,25.408706463384952,6.7020590885139315
