,variable 1,variable 2,correlation
158,valence,instrumentalness,-0.12109835586339457
159,valence,liveness,0.10761505697780796
160,valence,valence,1.0
161,valence,tempo,0.08441026991043833
162,valence,popularity,0.059485163927055974
163,valence,cluster,0.3068821585087504
164,valence,pl_count,0.012344722212697367
165,tempo,Unnamed: 0,-0.03714246195884192
166,tempo,danceability,-0.09948204962319948
167,tempo,energy,0.11429548905631567
168,tempo,key,0.00894875094570167
169,tempo,loudness,0.05576875326491813
170,tempo,mode,-0.01765121732441416
171,tempo,speechiness,0.07154935913630135
172,tempo,acousticness,-0.05622305557416507
173,tempo,instrumentalness,0.0005144535752063158
174,tempo,liveness,0.0025133569330680187
175,tempo,valence,0.08441026991043833
176,tempo,tempo,1.0
177,tempo,popularity,0.026416037809129846
178,tempo,cluster,-0.043594402311360296
179,tempo,pl_count,0.015834287889015787
180,popularity,Unnamed: 0,-0.3148836409522618
181,popularity,danceability,0.003690463232587653
182,popularity,energy,0.09878351938200558
183,popularity,key,-0.016132315721061257
184,popularity,loudness,0.27870530053359766
185,popularity,mode,0.05804027844115134
186,popularity,speechiness,-0.0697796205119397
187,popularity,acousticness,-0.03278877171737736
188,popularity,instrumentalness,-0.09842331751494533
189,popularity,liveness,0.053213925937775464
190,popularity,valence,0.059485163927055974
191,popularity,tempo,0.026416037809129846
192,popularity,popularity,1.0
193,popularity,cluster,0.06445955074401176
194,popularity,pl_count,0.41058891305445344
195,cluster,Unnamed: 0,-0.0881221738487154
196,cluster,danceability,0.3410951370478979
197,cluster,energy,0.4687285758347304
198,cluster,key,0.07047795338401362
199,cluster,loudness,0.3531818188105452
200,cluster,mode,-0.056862122796879154
201,cluster,speechiness,-0.12143929835512042
202,cluster,acousticness,-0.5089003240041707
203,cluster,instrumentalness,-0.03708766477162202
204,cluster,liveness,-0.24784988052026427
205,cluster,valence,0.3068821585087504
206,cluster,tempo,-0.043594402311360296
207,cluster,popularity,0.06445955074401176
208,cluster,cluster,1.0
209,cluster,pl_count,0.05672125985779592
210,pl_count,Unnamed: 0,-0.18813956749057437
211,pl_count,danceability,0.02341442035097557
212,pl_count,energy,0.057290219028490005
213,pl_count,key,-0.02828630029022434
214,pl_count,loudness,0.10412319144443512
215,pl_count,mode,0.011045177475731638
216,pl_count,speechiness,-0.05234636038787728
217,pl_count,acousticness,-0.0841116017048573
218,pl_count,instrumentalness,-0.02143196081435112
219,pl_count,liveness,-0.008098555179158645
220,pl_count,valence,0.012344722212697367
221,pl_count,tempo,0.015834287889015787
222,pl_count,popularity,0.41058891305445344
223,pl_count,cluster,0.05672125985779592
224,pl_count,pl_count,1.0
