,variable 1,variable 2,correlation,correlation_label
148,liveness,cluster,-0.24784988052026427,-0.25
150,valence,Unnamed: 0,-0.07765390424380925,-0.08
151,valence,danceability,0.3666331020294036,0.37
152,valence,energy,0.4179155418025822,0.42
153,valence,key,0.054453863317201416,0.05
154,valence,loudness,0.30493941893115656,0.30
155,valence,mode,-0.09956205059186234,-0.10
156,valence,speechiness,0.0935532691642055,0.09
157,valence,acousticness,-0.21594090078091974,-0.22
158,valence,instrumentalness,-0.12109835586339457,-0.12
159,valence,liveness,0.10761505697780796,0.11
160,valence,valence,1.0,1.00
161,valence,tempo,0.08441026991043833,0.08
163,valence,cluster,0.3068821585087504,0.31
165,tempo,Unnamed: 0,-0.03714246195884192,-0.04
166,tempo,danceability,-0.09948204962319948,-0.10
167,tempo,energy,0.11429548905631567,0.11
168,tempo,key,0.00894875094570167,0.01
169,tempo,loudness,0.05576875326491813,0.06
170,tempo,mode,-0.01765121732441416,-0.02
171,tempo,speechiness,0.07154935913630135,0.07
172,tempo,acousticness,-0.05622305557416507,-0.06
173,tempo,instrumentalness,0.0005144535752063158,0.00
174,tempo,liveness,0.0025133569330680187,0.00
175,tempo,valence,0.08441026991043833,0.08
176,tempo,tempo,1.0,1.00
178,tempo,cluster,-0.043594402311360296,-0.04
195,cluster,Unnamed: 0,-0.0881221738487154,-0.09
196,cluster,danceability,0.3410951370478979,0.34
197,cluster,energy,0.4687285758347304,0.47
198,cluster,key,0.07047795338401362,0.07
199,cluster,loudness,0.3531818188105452,0.35
200,cluster,mode,-0.056862122796879154,-0.06
201,cluster,speechiness,-0.12143929835512042,-0.12
202,cluster,acousticness,-0.5089003240041707,-0.51
203,cluster,instrumentalness,-0.03708766477162202,-0.04
204,cluster,liveness,-0.24784988052026427,-0.25
205,cluster,valence,0.3068821585087504,0.31
206,cluster,tempo,-0.043594402311360296,-0.04
208,cluster,cluster,1.0,1.00
