country,market,capture_dttm,track_artist,track_name,track_id,track_popularity,track_number,track_preview_url,track_duration,track_added_date
global,GO,2021-11-13 08:00:04.003136,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,0,1,,613026,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Adele,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,100,2,https://p.scdn.co/mp3-preview/c5014be1aeb2ab5f129e2789eff3ea87ecd5027f?cid=92635a7f55d045ebb6fb8dee4927d449,224694,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,The Kid LAROI,STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,92,3,https://p.scdn.co/mp3-preview/dd4d8d66b97b6edcb5358135e72620715e1449f9?cid=92635a7f55d045ebb6fb8dee4927d449,141805,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Taylor Swift,Red (Taylor's Version),4OAuvHryIVv4kMDNSLuPt6,0,4,,223093,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,90,5,https://p.scdn.co/mp3-preview/c1cb40d748692992bd5e476fc17ffe16f31016e3?cid=92635a7f55d045ebb6fb8dee4927d449,212352,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Bruno Mars,Smokin Out The Window,7sMBvZCSUl99bJLXZaLa0b,14,6,https://p.scdn.co/mp3-preview/5c0216fcadf85b6dd7653bada342ead1f0881db8?cid=92635a7f55d045ebb6fb8dee4927d449,197442,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Taylor Swift,All Too Well (Taylor's Version),1IBhYEvvi02tDVByxIiTh4,0,7,,329160,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Elton John,Cold Heart - PNAU Remix,7rglLriMNBPAyuJOMGwi39,83,8,,202735,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Taylor Swift,I Knew You Were Trouble (Taylor's Version),6tNSmBKSjFV1366ASuULfZ,0,9,,219760,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Ed Sheeran,Shivers,50nfwKoDiSYg8zOCREWAm5,90,10,https://p.scdn.co/mp3-preview/bb9f413d6876e265d09a5d2d93345c64f8ac4de8?cid=92635a7f55d045ebb6fb8dee4927d449,207853,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Glass Animals,Heat Waves,02MWAaffLxlfxAUY7c5dvx,91,11,,238805,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Taylor Swift,State Of Grace (Taylor's Version),5lFDIbYMcFHPPgzMcnPqSz,0,12,,295413,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Taylor Swift,22 (Taylor's Version),2T9WeqSMJJb8YBDHPYGU4p,0,13,,230960,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Juice WRLD,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,47,14,,231010,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Taylor Swift,We Are Never Ever Getting Back Together (Taylor's Version),31CdkzHnMbvJuKZvtCQfR6,0,15,,193146,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Farruko,Pepas,2B4GHvToeLTOBB4QLzW3Ni,84,16,https://p.scdn.co/mp3-preview/890f6034cf93d666d0f89d5724430c6ddd276eb2?cid=92635a7f55d045ebb6fb8dee4927d449,287120,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,84,17,https://p.scdn.co/mp3-preview/e0440ae1a5a38687fb54170742e9b83ebd33ddf3?cid=92635a7f55d045ebb6fb8dee4927d449,230746,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Taylor Swift,Treacherous (Taylor's Version),0YrMTMLpLq1UIkWgghNM6c,0,18,,242720,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Post Malone,One Right Now (with The Weeknd),00Blm7zeNqgYLPtW6zg8cj,87,19,,193506,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),01K4zKU104LyJ8gMb7227B,0,20,,258812,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Taylor Swift,I Almost Do (Taylor's Version),2r9CbjYgFhtAmcFv1cSquB,0,21,,244586,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,LISA,MONEY,7hU3IHwjX150XLoTVmjD0q,92,22,,168227,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Taylor Swift,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),4IQkfUsrwXol38VV3U7t7T,0,23,,240226,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Taylor Swift,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),5uQQcvcXoCwKPK5sYvarzO,0,24,,245426,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Coldplay,My Universe,46HNZY1i7O6jwTA7Slo2PI,85,25,https://p.scdn.co/mp3-preview/5da74c03a1f17ed58315050022c1452fb431a2ad?cid=92635a7f55d045ebb6fb8dee4927d449,226198,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Taylor Swift,Stay Stay Stay (Taylor's Version),1ftFtW8S1621tu0MIQy0Sg,0,26,,205786,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Doja Cat,Woman,6Uj1ctrBOjOas8xZXGqKk4,95,27,https://p.scdn.co/mp3-preview/5f583b2ce5aff7762b6611a85907d55349a62db1?cid=92635a7f55d045ebb6fb8dee4927d449,172626,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Taylor Swift,Better Man (Taylor's Version) (From The Vault),1gWRnZ52AK1ZUvpjjTteKf,0,28,,297013,2021-11-13T10:25:47Z
global,GO,2021-11-13 08:00:04.003136,Taylor Swift,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),0y6kdSRCVQhSsHSpWvTUm7,0,29,,299080,2021-11-13T10:25:47Z
