country,market,capture_dttm,track_artist,track_name,track_id,track_popularity,track_number,track_preview_url,track_duration,track_added_date
global,GO,2021-11-16 08:00:03.337092,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,85,1,,613026,2021-11-16T09:43:31Z
global,GO,2021-11-16 08:00:03.337092,Adele,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,100,2,https://p.scdn.co/mp3-preview/c5014be1aeb2ab5f129e2789eff3ea87ecd5027f?cid=92635a7f55d045ebb6fb8dee4927d449,224694,2021-11-16T09:43:31Z
global,GO,2021-11-16 08:00:03.337092,The Kid LAROI,STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,92,3,https://p.scdn.co/mp3-preview/dd4d8d66b97b6edcb5358135e72620715e1449f9?cid=92635a7f55d045ebb6fb8dee4927d449,141805,2021-11-16T09:43:31Z
global,GO,2021-11-16 08:00:03.337092,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,90,4,https://p.scdn.co/mp3-preview/c1cb40d748692992bd5e476fc17ffe16f31016e3?cid=92635a7f55d045ebb6fb8dee4927d449,212352,2021-11-16T09:43:31Z
global,GO,2021-11-16 08:00:03.337092,Elton John,Cold Heart - PNAU Remix,7rglLriMNBPAyuJOMGwi39,84,5,,202735,2021-11-16T09:43:31Z
global,GO,2021-11-16 08:00:03.337092,Glass Animals,Heat Waves,02MWAaffLxlfxAUY7c5dvx,91,6,,238805,2021-11-16T09:43:31Z
global,GO,2021-11-16 08:00:03.337092,Ed Sheeran,Shivers,50nfwKoDiSYg8zOCREWAm5,91,7,https://p.scdn.co/mp3-preview/bb9f413d6876e265d09a5d2d93345c64f8ac4de8?cid=92635a7f55d045ebb6fb8dee4927d449,207853,2021-11-16T09:43:31Z
global,GO,2021-11-16 08:00:03.337092,Bruno Mars,Smokin Out The Window,7sMBvZCSUl99bJLXZaLa0b,62,8,https://p.scdn.co/mp3-preview/5c0216fcadf85b6dd7653bada342ead1f0881db8?cid=92635a7f55d045ebb6fb8dee4927d449,197442,2021-11-16T09:43:31Z
global,GO,2021-11-16 08:00:03.337092,Farruko,Pepas,2B4GHvToeLTOBB4QLzW3Ni,84,9,https://p.scdn.co/mp3-preview/890f6034cf93d666d0f89d5724430c6ddd276eb2?cid=92635a7f55d045ebb6fb8dee4927d449,287120,2021-11-16T09:43:31Z
global,GO,2021-11-16 08:00:03.337092,Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,85,10,https://p.scdn.co/mp3-preview/e0440ae1a5a38687fb54170742e9b83ebd33ddf3?cid=92635a7f55d045ebb6fb8dee4927d449,230746,2021-11-16T09:43:31Z
global,GO,2021-11-16 08:00:03.337092,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ,87,11,,173381,2021-11-16T09:43:31Z
global,GO,2021-11-16 08:00:03.337092,LISA,MONEY,7hU3IHwjX150XLoTVmjD0q,92,12,,168227,2021-11-16T09:43:31Z
global,GO,2021-11-16 08:00:03.337092,Taylor Swift,All Too Well (Taylor's Version),3nsfB1vus2qaloUdcBZvDu,81,13,,329160,2021-11-16T09:43:31Z
global,GO,2021-11-16 08:00:03.337092,Coldplay,My Universe,46HNZY1i7O6jwTA7Slo2PI,85,14,https://p.scdn.co/mp3-preview/5da74c03a1f17ed58315050022c1452fb431a2ad?cid=92635a7f55d045ebb6fb8dee4927d449,226198,2021-11-16T09:43:31Z
global,GO,2021-11-16 08:00:03.337092,Post Malone,One Right Now (with The Weeknd),00Blm7zeNqgYLPtW6zg8cj,89,15,,193506,2021-11-16T09:43:31Z
global,GO,2021-11-16 08:00:03.337092,Taylor Swift,Red (Taylor's Version),4OAuvHryIVv4kMDNSLuPt6,82,16,,223093,2021-11-16T09:43:31Z
global,GO,2021-11-16 08:00:03.337092,Doja Cat,Woman,6Uj1ctrBOjOas8xZXGqKk4,95,17,https://p.scdn.co/mp3-preview/5f583b2ce5aff7762b6611a85907d55349a62db1?cid=92635a7f55d045ebb6fb8dee4927d449,172626,2021-11-16T09:43:31Z
global,GO,2021-11-16 08:00:03.337092,Juice WRLD,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,81,18,,231010,2021-11-16T09:43:31Z
global,GO,2021-11-16 08:00:03.337092,CKay,love nwantiti (ah ah ah),2Xr1dTzJee307rmrkt8c0g,94,19,https://p.scdn.co/mp3-preview/a04d7225d1bce725dc9ee38e8fed32b56368d562?cid=92635a7f55d045ebb6fb8dee4927d449,145800,2021-11-16T09:43:31Z
global,GO,2021-11-16 08:00:03.337092,CKay,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,4gvrJnKCKIPiacNsWVQwEU,94,20,https://p.scdn.co/mp3-preview/fbbecf458216fefa0e48c4b498fee4f5875ba2fa?cid=92635a7f55d045ebb6fb8dee4927d449,188368,2021-11-16T09:43:31Z
global,GO,2021-11-16 08:00:03.337092,Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),01K4zKU104LyJ8gMb7227B,79,21,,258812,2021-11-16T09:43:31Z
