country,market,capture_dttm,track_artist,track_name,track_id,track_popularity,track_number,track_preview_url,track_duration,track_added_date
global,GO,2021-11-30 08:00:03.354975,Adele,Easy On Me,46IZ0fSY2mpAiktS3KOqds,89,1,https://p.scdn.co/mp3-preview/c5014be1aeb2ab5f129e2789eff3ea87ecd5027f?cid=92635a7f55d045ebb6fb8dee4927d449,224694,2021-11-30T09:19:08Z
global,GO,2021-11-30 08:00:03.354975,The Kid LAROI,STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,92,2,https://p.scdn.co/mp3-preview/dd4d8d66b97b6edcb5358135e72620715e1449f9?cid=92635a7f55d045ebb6fb8dee4927d449,141805,2021-11-30T09:19:08Z
global,GO,2021-11-30 08:00:03.354975,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,90,3,https://p.scdn.co/mp3-preview/c1cb40d748692992bd5e476fc17ffe16f31016e3?cid=92635a7f55d045ebb6fb8dee4927d449,212352,2021-11-30T09:19:08Z
global,GO,2021-11-30 08:00:03.354975,GAYLE,abcdefu,4fouWK6XVHhzl78KzQ1UjL,90,4,https://p.scdn.co/mp3-preview/25a618c8bbf72ac750ab2024c8b987820ecc1cd1?cid=92635a7f55d045ebb6fb8dee4927d449,168601,2021-11-30T09:19:08Z
global,GO,2021-11-30 08:00:03.354975,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,94,5,,613026,2021-11-30T09:19:08Z
global,GO,2021-11-30 08:00:03.354975,Elton John,Cold Heart - PNAU Remix,7rglLriMNBPAyuJOMGwi39,86,6,,202735,2021-11-30T09:19:08Z
global,GO,2021-11-30 08:00:03.354975,Glass Animals,Heat Waves,02MWAaffLxlfxAUY7c5dvx,92,7,,238805,2021-11-30T09:19:08Z
global,GO,2021-11-30 08:00:03.354975,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ,93,8,,173381,2021-11-30T09:19:08Z
global,GO,2021-11-30 08:00:03.354975,Ed Sheeran,Shivers,50nfwKoDiSYg8zOCREWAm5,93,9,https://p.scdn.co/mp3-preview/bb9f413d6876e265d09a5d2d93345c64f8ac4de8?cid=92635a7f55d045ebb6fb8dee4927d449,207853,2021-11-30T09:19:08Z
global,GO,2021-11-30 08:00:03.354975,Adele,Oh My God,3Kkjo3cT83cw09VJyrLNwX,92,10,https://p.scdn.co/mp3-preview/c37959aa69d5ff67815e8748451b32b6c81d84a8?cid=92635a7f55d045ebb6fb8dee4927d449,225148,2021-11-30T09:19:08Z
global,GO,2021-11-30 08:00:03.354975,Mariah Carey,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,90,11,https://p.scdn.co/mp3-preview/bbafd15ff484394a0ca106d5fef0a81eeea4ef5b?cid=92635a7f55d045ebb6fb8dee4927d449,241106,2021-11-30T09:19:08Z
global,GO,2021-11-30 08:00:03.354975,Farruko,Pepas,2B4GHvToeLTOBB4QLzW3Ni,85,12,https://p.scdn.co/mp3-preview/890f6034cf93d666d0f89d5724430c6ddd276eb2?cid=92635a7f55d045ebb6fb8dee4927d449,287120,2021-11-30T09:19:08Z
global,GO,2021-11-30 08:00:03.354975,Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,91,13,https://p.scdn.co/mp3-preview/e0440ae1a5a38687fb54170742e9b83ebd33ddf3?cid=92635a7f55d045ebb6fb8dee4927d449,230746,2021-11-30T09:19:08Z
global,GO,2021-11-30 08:00:03.354975,Coldplay,My Universe,46HNZY1i7O6jwTA7Slo2PI,86,14,https://p.scdn.co/mp3-preview/5da74c03a1f17ed58315050022c1452fb431a2ad?cid=92635a7f55d045ebb6fb8dee4927d449,226198,2021-11-30T09:19:08Z
global,GO,2021-11-30 08:00:03.354975,ACRAZE,Do It To It,20on25jryn53hWghthWWW3,91,15,,157890,2021-11-30T09:19:08Z
