,genres
1658,kazakh pop
1659,russian hip hop
1660,russian trap
1661,russian drain
1662,russian hip hop
1663,russian emo rap
1664,russian hip hop
1665,russian trap
1666,russian drain
1667,russian hip hop
1668,russian drain
1669,russian hip hop
1670,russian trap
1671,russian alt pop
1672,russian hip hop
1673,russian hip hop
1674,russian hip hop
1675,russian drain
1676,russian hip hop
1677,russian alt pop
1678,russian hip hop
1679,russian trap
1680,russian drain
1681,russian hip hop
1682,russian trap
1683,russian alt pop
1684,russian hip hop
1685,russian trap
1686,russian alt pop
1687,russian hip hop
1688,russian alt pop
1689,russian hip hop
1690,russian trap
1691,russian alt pop
1692,russian hip hop
1693,sheilat
1694,sheilat
1695,sheilat
1696,sheilat
1697,egyptian pop
1698,sheilat
1699,australian hip hop
1700,khaliji
1701,sheilat
1702,sheilat
1703,khaliji
1704,eurovision
1705,g funk
1706,gangster rap
1707,hip hop
1708,rap
1709,west coast rap
1710,pop
1711,pop rap
1712,khaliji
1713,sheilat
1714,plugg
1715,viral rap
1716,czsk hip hop
1717,slovak hip hop
1718,czsk hip hop
1719,slovak hip hop
1720,czsk hip hop
1721,czsk hip hop
1722,slovak hip hop
1723,afro soul
1724,south african pop
1725,afro soul
1726,amapiano
1727,south african pop
1728,amapiano
1729,afro soul
1730,south african pop
1731,amapiano
1732,afro soul
1733,amapiano
1734,south african pop
1735,afro soul
1736,south african pop
1737,afro house
1738,afro soul
1739,south african alternative
1740,south african pop
1741,afro soul
1742,amapiano
1743,south african pop
1744,amapiano
1745,afro soul
1746,amapiano
1747,amapiano
1748,k-pop
1749,k-pop girl group
1750,k-pop
1751,korean pop
1752,k-pop
1753,k-pop
1754,k-pop
1755,k-pop girl group
1756,k-pop
1757,k-pop girl group
1758,k-pop
1759,k-pop
1760,k-pop
1761,k-pop boy group
1762,k-pop
1763,k-pop girl group
1764,k-pop
1765,k-pop girl group
1766,dance pop
1767,pop
1768,k-pop
1769,urbano espanol
1770,trap latino
1771,latin
1772,reggaeton
1773,trap latino
1774,rap espanol
1775,trap latino
1776,trap triste
1777,urbano espanol
1778,cubaton
1779,boom bap espanol
1780,rap canario
1781,rap espanol
1782,urbano espanol
1783,drill espanol
1784,urbano espanol
1785,spanish pop
1786,flamenco urbano
1787,trap latino
1788,urbano espanol
1789,drill espanol
1790,trap latino
1791,urbano espanol
1792,drill espanol
1793,rap espanol
1794,trap latino
1795,urbano espanol
1796,swedish hip hop
1797,swedish trap pop
1798,swedish gangsta rap
1799,swedish hip hop
1800,swedish trap
1801,swedish trap pop
1802,swedish gangsta rap
1803,swedish hip hop
1804,swedish trap
1805,swedish trap pop
1806,swedish hip hop
1807,swedish trap pop
1808,swedish idol pop
1809,swedish pop
1810,swedish drill
1811,swedish gangsta rap
1812,swedish hip hop
1813,swedish trap
1814,swedish trap pop
1815,swedish gangsta rap
1816,swedish hip hop
1817,swedish trap
1818,swedish trap pop
1819,swedish drill
1820,swedish gangsta rap
1821,swedish hip hop
1822,swedish trap
1823,swedish trap pop
1824,barnmusik
1825,swedish gangsta rap
1826,swedish hip hop
1827,swedish trap
1828,swedish trap pop
1829,swedish gangsta rap
1830,swedish hip hop
1831,swedish reggae
1832,swedish trap pop
1833,swedish gangsta rap
1834,swedish hip hop
1835,swedish trap
1836,swedish trap pop
1837,swedish hip hop
1838,swedish trap pop
1839,europop
1840,swedish idol pop
1841,swedish pop
1842,swedish pop
1843,swedish singer-songwriter
1844,swedish idol pop
1845,swedish pop
1846,swedish gangsta rap
1847,swedish hip hop
1848,swedish trap
1849,swedish trap pop
1850,swedish drill
1851,swedish gangsta rap
1852,swedish hip hop
1853,swedish trap
1854,swedish trap pop
1855,swedish drill
1856,swedish gangsta rap
1857,swedish hip hop
1858,swedish trap
1859,swedish trap pop
1860,swedish idol pop
1861,swedish pop
1862,swedish pop rap
1863,swedish hip hop
1864,swedish pop
1865,swedish trap pop
1866,swedish gangsta rap
1867,swedish hip hop
1868,swedish trap
1869,swedish trap pop
1870,swedish idol pop
1871,swedish pop
1872,swedish gangsta rap
1873,swedish hip hop
1874,swedish trap
1875,swedish trap pop
1876,swedish drill
1877,swedish gangsta rap
1878,swedish hip hop
1879,swedish trap
1880,swedish trap pop
1881,swedish drill
1882,swedish gangsta rap
1883,swedish hip hop
1884,swedish trap
1885,swedish trap pop
1886,swedish gangsta rap
1887,swedish hip hop
1888,swedish trap
1889,swedish trap pop
1890,albanian pop
1891,mandopop
1892,taiwan indie
1893,taiwan pop
1894,taiwanese indie
1895,mandopop
1896,taiwan indie
1897,chinese indie
1898,mandopop
1899,taiwan indie
1900,taiwan pop
1901,taiwan singer-songwriter
1902,mandopop
1903,taiwan indie
1904,mandopop
1905,c-pop
1906,mandopop
1907,chinese viral pop
1908,mandopop
1909,taiwan indie
1910,taiwan rock
1911,chinese viral pop
1912,chinese viral pop
1913,taiwan singer-songwriter
1914,mandopop
1915,mandopop
1916,taiwan indie
1917,chinese viral pop
1918,mainland chinese pop
1919,dance pop
1920,edm
1921,electro house
1922,pop dance
1923,pop rap
1924,tropical house
1925,chinese viral pop
1926,mainland chinese pop
1927,mandopop
1928,taiwan idol pop
1929,taiwan pop
1930,mandopop
1931,mandopop
1932,mandopop
1933,taiwan singer-songwriter
1934,chinese r&b
1935,mandopop
1936,taiwan hip hop
1937,mandopop
1938,taiwan indie
1939,taiwan idol pop
1940,mandopop
1941,taiwan hip hop
1942,taiwan pop
1943,chinese viral pop
1944,thai pop
1945,thai pop rap
1946,thai pop rap
1947,thai indie rock
1948,thai pop
1949,t-pop girl group
1950,thai teen pop
1951,thai trap
1952,thai indie rock
1953,thai pop
1954,thai pop
1955,thai indie pop
1956,thai pop
1957,thai indie pop
1958,thai pop
1959,thai pop
1960,thai hip hop
1961,thai pop
1962,thai trap
1963,thai folk
1964,thai indie pop
1965,thai pop
1966,thai folk
1967,thai indie pop
1968,thai pop
1969,thai indie pop
1970,thai pop
1971,thai indie rock
1972,thai pop
1973,thai hip hop
1974,thai indie pop
1975,thai pop
1976,thai hip hop
1977,thai pop
1978,thai indie pop
1979,thai pop
1980,thai indie rock
1981,thai pop
1982,thai indie rock
1983,thai pop
1984,thai folk
1985,thai indie pop
1986,thai pop
1987,bass trap
1988,turkish trap
1989,turkish trap
1990,turkish trap pop
1991,turkish pop
1992,turkish trap pop
1993,turkish trap
1994,turkish trap pop
1995,turkish hip hop
1996,turkish trap
1997,turkish trap pop
1998,turkish trap
1999,turkish alt pop
2000,turkish alt pop
2001,turkish alternative rock
2002,turkish alt pop
2003,turkce kadin rap
2004,turkish trap pop
2005,turkce drill
2006,turkish hip hop
2007,turkish trap
2008,turkish trap pop
2009,turkish alternative rock
2010,turkish hip hop
2011,turkish trap pop
2012,turkish trap
2013,anadolu rock
2014,karadeniz turkuleri
2015,turkish alternative
2016,turkish alternative rock
2017,turkish rock
2018,turkish alt pop
2019,turkish pop
2020,turkish trap
2021,turkish trap pop
2022,turkish alternative rock
2023,turkish pop
2024,turkish trap pop
2025,turkish trap pop
2026,turkish hip hop
2027,turkish trap pop
2028,turkish alt pop
2029,turkish trap
2030,turkish alt pop
2031,turkish hip hop
2032,turkish trap
2033,turkish trap pop
2034,turkish alt pop
2035,turkish pop
2036,turkish trap pop
2037,turkish pop
2038,turkish trap pop
2039,turkish trap
2040,turkish trap
2041,turkish hip hop
2042,turkish trap pop
2043,turkish singer-songwriter
2044,turkish hip hop
2045,turkish trap pop
2046,turkish rock
2047,turkish trap
2048,turkish trap pop
2049,turkish pop
2050,turkish rock
2051,russian drain
2052,russian hip hop
2053,ukrainian hip hop
2054,russian drain
2055,russian hip hop
2056,russian drain
2057,russian hip hop
2058,ukrainian pop
2059,ukrainian rock
2060,russian drain
2061,russian hip hop
2062,russian pop
2063,ukrainian pop
2064,drift phonk
2065,sad lo-fi
2066,central asian hip hop
2067,kazakh hip hop
2068,kazakh pop
2069,russian hip hop
2070,russian trap
2071,dance pop
2072,edm
2073,pop
2074,pop dance
2075,tropical house
2076,uk dance
2077,uk funky
2078,florida rap
2079,trap
2080,chicago rap
2081,colombian pop
2082,gypsy jazz
2083,latin alternative
2084,latin pop
2085,latin rock
2086,conscious hip hop
2087,hip hop
2088,north carolina hip hop
2089,rap
2090,dance pop
2091,pop
2092,cumbia pop
2093,v-pop
2094,vietnamese hip hop
2095,v-pop
2096,v-pop
2097,v-pop
2098,indie viet
2099,v-pop
2100,vietnamese hip hop
2101,v-pop
2102,vietnamese singer-songwriter
2103,v-pop
2104,indie viet
2105,rock viet
2106,v-pop
2107,vietnamese singer-songwriter
2108,indie viet
2109,v-pop
2110,v-pop
2111,v-pop
2112,vietnamese hip hop
2113,vietnamese singer-songwriter
2114,indie viet
2115,v-pop
2116,indie viet
2117,v-pop
2118,vietnamese hip hop
2119,indie viet
2120,v-pop
2121,vietnamese hip hop
2122,v-pop
2123,indie viet
2124,v-pop
2125,vietnamese hip hop
2126,v-pop
2127,vietnamese hip hop
2128,v-pop
2129,indie viet
2130,v-pop
2131,v-pop
2132,vietnamese singer-songwriter
2133,indie viet
2134,rock viet
2135,v-pop
2136,vietnamese singer-songwriter
2137,v-pop
2138,vietnamese hip hop
2139,v-pop
2140,v-pop
2141,indie viet
2142,v-pop
2143,indie viet
2144,v-pop
2145,v-pop
2146,v-pop
2147,pop
2148,uk pop
2149,pop
2150,uk pop
2151,pop
2152,uk pop
2153,pop
2154,uk pop
2155,pop
2156,uk pop
2157,pop
2158,uk pop
2159,argentine hip hop
2160,r&b argentino
2161,trap argentino
2162,trap latino
2163,argentine hip hop
2164,r&b argentino
2165,trap argentino
2166,trap latino
2167,cumbia 420
2168,cumbia pop
2169,pop
2170,uk pop
2171,german cloud rap
2172,german hip hop
2173,kleinkunst
2174,sertanejo
2175,sertanejo universitario
2176,bulgarian pop
2177,chalga
2178,bulgarian pop
2179,chalga
2180,pop
2181,r&b
2182,soul
2183,melodic rap
2184,philly rap
2185,rap
2186,trap
2187,pop
2188,uk pop
2189,disco
2190,pop
2191,uk pop
2192,latin
2193,reggaeton
2194,reggaeton flow
2195,trap boricua
2196,trap latino
2197,czsk hip hop
2198,danish pop
2199,scandinavian r&b
2200,german drill
2201,german underground rap
2202,pop
2203,uk pop
2204,reggaeton
2205,trap boricua
2206,trap latino
2207,trap triste
2208,egyptian hip hop
2209,reggaeton mexicano
2210,reggaeton
2211,reggaeton flow
2212,trap latino
2213,estonian hip hop
2214,estonian pop
2215,estonian electronic
2216,estonian pop
2217,estonian electronic
2218,estonian pop
2219,finnish dance pop
2220,finnish hip hop
2221,finnish pop
2222,pop
2223,uk pop
2224,big room
2225,dance pop
2226,edm
2227,pop
2228,pop dance
2229,pop rap
2230,french hip hop
2231,pop urbaine
2232,rap francais
2233,french hip hop
2234,pop urbaine
2235,rap francais
2236,german hip hop
2237,german pop
2238,german trap
2239,german cloud rap
2240,german hip hop
2241,german alternative rap
2242,german hip hop
2243,german pop
2244,german rock
2245,albanian hip hop
2246,german hip hop
2247,kosovan pop
2248,turbo folk
2249,greek drill
2250,greek drill
2251,greek drill
2252,greek drill
2253,greek drill
2254,greek drill
2255,greek drill
2256,greek drill
2257,greek drill
2258,greek drill
2259,greek drill
2260,greek drill
2261,greek drill
2262,greek drill
2263,greek drill
2264,greek drill
2265,greek drill
2266,greek drill
2267,greek drill
2268,greek drill
2269,greek drill
2270,greek drill
2271,greek drill
2272,greek drill
2273,cantopop
2274,hungarian hip hop
2275,magyar trap
2276,icelandic hip hop
2277,icelandic pop
2278,icelandic hip hop
2279,icelandic pop
2280,icelandic hip hop
2281,icelandic pop
2282,icelandic hip hop
2283,icelandic pop
2284,icelandic hip hop
2285,icelandic pop
2286,icelandic pop
2287,icelandic electronic
2288,icelandic pop
2289,alternative r&b
2290,viral pop
2291,pop
2292,uk pop
2293,dance pop
2294,pop
2295,pop dance
2296,tropical house
2297,uk dance
2298,emo trap italiana
2299,latvian pop
2300,latvian pop
2301,latvian pop
2302,latvian pop
2303,latvian pop
2304,latvian pop
2305,latvian pop
2306,latvian pop
2307,latvian pop
2308,latvian pop
2309,east coast hip hop
2310,hip hop
2311,rap
2312,trap
2313,corrido
2314,nuevo regional mexicano
2315,regional mexican
2316,sierreno
2317,banda
2318,corrido
2319,norteno
2320,nuevo regional mexicano
2321,regional mexican
2322,sierreno
2323,arabic hip hop
2324,moroccan pop
2325,rap maroc
2326,rap maroc
2327,dutch pop
2328,dutch rock
2329,dutch pop
2330,dutch rock
2331,norwegian pop
2332,nordnorsk rap
2333,norwegian indie
2334,norwegian pop
2335,norwegian pop rap
2336,norwegian trap
2337,latin
2338,reggaeton
2339,trap latino
2340,panamanian pop
2341,polish pop
2342,hip hop tuga
2343,rap criolo
2344,eurovision
2345,romanian pop
2346,russian drain
2347,russian hip hop
2348,russian trap
2349,russian hip hop
2350,russian trap
2351,russian hip hop
2352,russian dance
2353,russian pop
2354,russian hip hop
2355,russian pop
2356,russian trap
2357,dark trap
2358,florida rap
2359,czsk hip hop
2360,afro soul
2361,amapiano
2362,south african pop
2363,amapiano
2364,afro soul
2365,amapiano
2366,south african pop
2367,afro soul
2368,amapiano
2369,south african pop
2370,afro soul
2371,amapiano
2372,south african pop
2373,afro soul
2374,amapiano
2375,south african pop
2376,afro soul
2377,amapiano
2378,south african pop
2379,afro soul
2380,amapiano
2381,south african pop
2382,afro soul
2383,south african pop
2384,afro soul
2385,afro soul
2386,amapiano
2387,south african pop
2388,k-pop
2389,korean pop
2390,korean r&b
2391,cantautor
2392,latin afrobeat
2393,latin alternative
2394,latin rock
2395,rock en espanol
2396,swedish idol pop
2397,swedish pop
2398,swedish pop rap
2399,swedish idol pop
2400,swedish pop
2401,swedish gangsta rap
2402,swedish hip hop
2403,swedish trap pop
2404,chinderlieder
2405,mundart
2406,schweizer rap
2407,swiss hip hop
2408,swiss indie
2409,swiss reggae
2410,russian drain
2411,russian hip hop
2412,pop
2413,uk pop
2414,pop
2415,uk pop
2416,disney
2417,bulgarian pop
2418,chalga
2419,macedonian folk
2420,dembow
2421,dominican pop
2422,rap dominicano
2423,trap latino
2424,finnish dance pop
2425,finnish hip hop
2426,finnish pop
2427,suomi rock
2428,finnish dance pop
2429,finnish pop
2430,iskelma
2431,suomi rock
2432,finnish dance pop
2433,finnish hip hop
2434,finnish pop
2435,iskelma
2436,suomi rock
2437,desi pop
2438,punjabi pop
2439,norteno
2440,nuevo regional mexicano
2441,regional mexican
2442,sierreno
2443,arabic hip hop
2444,rap maroc
2445,arabic hip hop
2446,rap maroc
2447,dutch trance
2448,edm
2449,pop dance
2450,progressive house
2451,trance
2452,russelater
2453,romanian rap
2454,romanian trap
2455,czsk hip hop
2456,afro soul
2457,south african pop
2458,afro soul
2459,amapiano
2460,south african pop
2461,afro soul
2462,amapiano
2463,south african pop
2464,k-pop
2465,classic swedish pop
2466,swedish pop
2467,classic russian rock
2468,horror punk
2469,russian folk rock
2470,russian metal
2471,russian punk
2472,russian punk rock
2473,russian rock
2474,russian ska
2475,pop
2476,chill drill
2477,halloween
2478,novelty
2479,funk carioca
2480,australian rock
2481,hard rock
2482,rock
2483,pop
2484,r&b
2485,soul
2486,art rock
2487,dance rock
2488,europop
2489,mellow gold
2490,new romantic
2491,new wave
2492,new wave pop
2493,rock
2494,soft rock
2495,sophisti-pop
2496,synthpop
2497,boy band
2498,dance pop
2499,hollywood
2500,novelty
2501,dance pop
2502,pop
2503,post-teen pop
2504,horror synth
2505,soundtrack
2506,classic icelandic pop
2507,icelandic folk
2508,icelandic pop
2509,icelandic singer-songwriter
2510,classic icelandic pop
2511,icelandic folk
2512,icelandic pop
2513,icelandic singer-songwriter
2514,classic icelandic pop
2515,icelandic folk
2516,icelandic pop
2517,icelandic singer-songwriter
2518,indonesian pop
2519,israeli mediterranean
2520,israeli pop
2521,mizrahi
2522,norteno
2523,nuevo regional mexicano
2524,regional mexican
2525,sierreno
2526,rap maroc
2527,dance pop
2528,latin
2529,latin pop
2530,latin viral pop
2531,pop
2532,rap latina
2533,reggaeton
2534,trap latino
2535,k-rap
2536,korean pop
2537,k-rap
2538,korean trap
2539,swedish pop
2540,classic swedish pop
2541,swedish pop
2542,swedish pop
2543,turkish alt pop
2544,alt z
2545,electropop
2546,indie poptimism
2547,pop
2548,russian drain
2549,russian hip hop
2550,k-pop
2551,k-pop boy group
2552,k-pop
2553,k-pop boy group
2554,afro r&b
2555,ghanaian alternative
2556,ghanaian pop
2557,egyptian hip hop
2558,egyptian hip hop
2559,francoton
2560,hungarian pop
2561,desi hip hop
2562,desi pop
2563,punjabi pop
2564,dance pop
2565,pop
2566,urban contemporary
2567,israeli rock
2568,italian hip hop
2569,rap napoletano
2570,mexican hip hop
2571,rai
2572,rap algerien
2573,amapiano
2574,dembow
2575,dominican pop
2576,rap dominicano
2577,trap latino
2578,urbano espanol
2579,turkish alt pop
2580,turkish pop
2581,russian drain
2582,russian hip hop
2583,pop costarricense
2584,arab alternative
2585,egyptian alternative
2586,egyptian pop
2587,egyptian hip hop
2588,greek drill
2589,classic icelandic pop
2590,icelandic folk
2591,icelandic pop
2592,icelandic singer-songwriter
2593,israeli pop
2594,italian pop
2595,moroccan pop
2596,rap maroc
2597,romanian trap
2598,romanian trap
2599,romanian trap
2600,romanian trap
2601,romanian trap
2602,moldovan pop
2603,romanian pop
2604,russian grime
2605,russian hip hop
2606,russian trap
2607,k-pop
2608,k-pop boy group
2609,mandopop
2610,taiwan pop
2611,v-pop
2612,vietnamese hip hop
2613,german pop
2614,trap carioca
2615,trap pesado
2616,bulgarian pop
2617,bulgarian pop
2618,hip hop
2619,kansas city hip hop
2620,pop rap
2621,dark clubbing
2622,destroy techno
2623,electro house
2624,czech hip hop
2625,czsk hip hop
2626,czech hip hop
2627,czsk hip hop
2628,egyptian hip hop
2629,classic icelandic pop
2630,icelandic folk
2631,icelandic pop
2632,icelandic singer-songwriter
2633,modern alternative rock
2634,modern rock
2635,pop
2636,chinese viral pop
2637,mainland chinese pop
2638,argentine hip hop
2639,pop venezolano
2640,trap argentino
2641,trap latino
2642,argentine rock
2643,argentine telepop
2644,latin alternative
2645,latin rock
2646,rock en espanol
2647,cumbia 420
2648,rkt
2649,mambo chileno
2650,reggaeton flow
2651,trap latino
2652,dakke dak
2653,danish hip hop
2654,danish pop
2655,argentine hip hop
2656,pop venezolano
2657,trap argentino
2658,trap latino
2659,russian drill
2660,russian hip hop
2661,russian trap
2662,estonian pop
2663,eurovision
2664,desi pop
2665,modern bollywood
2666,desi pop
2667,filmi
2668,modern bollywood
2669,desi pop
2670,punjabi pop
2671,indonesian pop
2672,j-pop
2673,japanese singer-songwriter
2674,japanese teen pop
2675,environmental
2676,polish hip hop
2677,romanian trap
2678,khaliji
2679,sheilat
2680,czech folk
2681,slovak pop
2682,k-rap
2683,swedish pop
2684,rap
2685,slap house
2686,sertanejo
2687,big room
2688,brostep
2689,dance pop
2690,dutch edm
2691,edm
2692,house
2693,pop
2694,pop dance
2695,slap house
2696,trance
2697,tropical house
2698,danish alternative rock
2699,danish pop
2700,danish post-punk
2701,danish rock
2702,danish hip hop
2703,danish pop
2704,danish hip hop
2705,danish pop
2706,latin
2707,puerto rican pop
2708,reggaeton
2709,trap latino
2710,estonian hip hop
2711,estonian pop
2712,finnish dance pop
2713,finnish hip hop
2714,finnish pop
2715,suomirap
2716,cyber metal
2717,finnish metal
2718,suomi rock
2719,french hip hop
2720,pop urbaine
2721,french hip hop
2722,pop urbaine
2723,french hip hop
2724,pop urbaine
2725,french hip hop
2726,pop urbaine
2727,french hip hop
2728,pop urbaine
2729,french hip hop
2730,pop urbaine
2731,french hip hop
2732,pop urbaine
2733,french hip hop
2734,pop urbaine
2735,french hip hop
2736,pop urbaine
2737,french hip hop
2738,pop urbaine
2739,german pop
2740,german hip hop
2741,german trap
2742,icelandic electronic
2743,icelandic pop
2744,icelandic pop
2745,israeli pop
2746,italian pop
2747,rap napoletano
2748,rome indie
2749,italian hip hop
2750,italian pop
2751,pop virale italiano
2752,rap napoletano
2753,italian hip hop
2754,trap italiana
2755,italian hip hop
2756,italian pop
2757,pop virale italiano
2758,rap napoletano
2759,italian hip hop
2760,italian pop
2761,pop virale italiano
2762,rap napoletano
2763,big room
2764,dance pop
2765,edm
2766,pop
2767,pop dance
2768,pop rap
2769,polish hip hop
2770,polish trap
2771,polish hip hop
2772,rap portuense
2773,romanian trap
2774,russian alt pop
2775,russian hip hop
2776,russian trap
2777,afro soul
2778,south african pop
2779,swedish drill
2780,swedish hip hop
2781,swedish pop
2782,swedish reggae
2783,swedish trap
2784,swedish trap pop
2785,turkish trap pop
2786,memphis hip hop
2787,v-pop
2788,cumbia pop
2789,sertanejo
2790,sertanejo
2791,sertanejo
2792,sertanejo
2793,sertanejo
2794,sertanejo
2795,sertanejo
2796,sertanejo
2797,sertanejo
2798,sertanejo
2799,sertanejo
2800,sertanejo
2801,sertanejo
2802,dance pop
2803,hip hop
2804,pop rap
2805,rap
2806,southern hip hop
2807,st louis rap
2808,urban contemporary
2809,finnish dance pop
2810,finnish hip hop
2811,finnish pop
2812,suomi rock
2813,finnish dance pop
2814,finnish hip hop
2815,finnish pop
2816,iskelma
2817,suomi rock
2818,finnish dance pop
2819,finnish pop
2820,iskelma
2821,suomi rock
2822,finnish dance pop
2823,finnish hip hop
2824,finnish pop
2825,iskelma
2826,suomi rock
2827,greek pop
2828,laiko
2829,hungarian hip hop
2830,hungarian pop
2831,magyar trap
2832,europop
2833,new romantic
2834,new wave
2835,new wave pop
2836,soft rock
2837,adult standards
2838,canadian pop
2839,jazz pop
2840,lounge
2841,classic icelandic pop
2842,icelandic pop
2843,israeli pop
2844,italian hip hop
2845,italian pop
2846,pop virale italiano
2847,rap napoletano
2848,sertanejo
2849,sertanejo
2850,romanian trap
2851,russian grime
2852,russian hip hop
2853,russian trap
2854,k-rap
2855,albanian pop
2856,turkish rock
2857,indie viet
2858,v-pop
2859,vietnamese hip hop
2860,cuarteto
2861,cumbia pop
2862,kleinkunst
2863,kleinkunst
2864,sertanejo
2865,sertanejo pop
2866,sertanejo tradicional
2867,sertanejo universitario
2868,bulgarian pop
2869,egyptian hip hop
2870,arab pop
2871,egyptian pop
2872,k-rap
2873,k-rap
2874,korean pop
2875,scandinavian r&b
2876,swedish dancehall
2877,swedish drill
2878,swedish hip hop
2879,swedish pop
2880,swedish trap pop
2881,classic swedish pop
2882,swedish pop
2883,swedish pop
2884,dalarna indie
2885,swedish pop
2886,chinese r&b
2887,mandopop
2888,taiwan pop
2889,taiwan singer-songwriter
2890,sertanejo
2891,russian alt pop
2892,russian pop
2893,greek pop
2894,cantopop
2895,israeli mediterranean
2896,israeli pop
2897,drift phonk
2898,wave
2899,rap maroc
2900,arabic hip hop
2901,moroccan pop
2902,rap maroc
2903,turkish hip hop
2904,turkish trap pop
2905,sertanejo
2906,sertanejo universitario
2907,israeli mediterranean
2908,israeli pop
2909,mizrahi
2910,russian dance pop
2911,russian pop
2912,rap maroc
2913,polish hip hop
2914,russian grime
2915,russian hip hop
2916,russian trap
2917,kazakh hip hop
2918,kazakh pop
2919,russian alt pop
2920,russian pop
2921,amapiano
2922,sertanejo
2923,sertanejo universitario
2924,sertanejo
2925,sertanejo pop
2926,sertanejo universitario
2927,slovak pop
2928,slovak punk
2929,slovak pop
2930,slovak punk
2931,slovak pop
2932,slovak punk
2933,arab pop
2934,belly dance
2935,egyptian pop
2936,persian pop
2937,rif
2938,finnish pop
2939,greek trap
2940,cantopop
2941,bedroom soul
2942,chill r&b
2943,pop
2944,arabic hip hop
2945,moroccan pop
2946,rap maroc
2947,russian alt pop
2948,russian hip hop
2949,russian hip hop
2950,russian trap
2951,glitchcore
2952,contemporary country
2953,country
2954,reggaeton colombiano
2955,trap latino
2956,slovak pop
2957,slovak punk
2958,r&b en espanol
2959,c-pop
2960,cantopop
2961,tollywood
2962,desi pop
2963,modern bollywood
2964,rap maroc
2965,slovak pop
2966,slovak punk
2967,slovak pop
2968,slovak punk
2969,slovak pop
2970,slovak punk
2971,k-rap
2972,korean pop
2973,korean r&b
2974,k-rap
2975,korean pop
2976,korean r&b
2977,k-rap
2978,korean pop
2979,korean r&b
2980,k-rap
2981,korean pop
2982,korean r&b
2983,trap argentino
2984,trap latino
2985,trap triste
2986,indie viet
2987,rock viet
2988,v-pop
2989,vietnamese singer-songwriter
2990,dance pop
2991,pop
2992,dance pop
2993,pop
2994,latin pop
2995,pop argentino
2996,chicago rap
2997,frauenrap
2998,german hip hop
2999,german pop
3000,german hip hop
3001,austropop
3002,graz indie
3003,volkspop
3004,french hip hop
3005,pop urbaine
3006,rap conscient
3007,rap francais
3008,funk carioca
3009,funk pop
3010,pagode baiano
3011,pop nacional
3012,bulgarian hip hop
3013,bulgarian pop
3014,bulgarian pop
3015,alt z
3016,dance pop
3017,pop
3018,post-teen pop
3019,reggaeton
3020,trap latino
3021,latin
3022,reggaeton
3023,reggaeton flow
3024,trap boricua
3025,trap latino
3026,czsk hip hop
3027,czsk hip hop
3028,czsk hip hop
3029,slovak hip hop
3030,czsk hip hop
3031,czsk hip hop
3032,danish hip hop
3033,danish pop
3034,danish hip hop
3035,danish pop
3036,finnish dance pop
3037,finnish hip hop
3038,eurovision
3039,oulu metal
3040,trancecore
3041,eurovision
3042,finnish dance pop
3043,finnish pop
3044,iskelma
3045,finnish dance pop
3046,finnish hip hop
3047,electro house
3048,finnish dance pop
3049,finnish hip hop
3050,suomirap
3051,french hip hop
3052,pop urbaine
3053,rap conscient
3054,rap francais
3055,french hip hop
3056,pop urbaine
3057,rap conscient
3058,rap francais
3059,french hip hop
3060,pop urbaine
3061,rap conscient
3062,rap francais
3063,french hip hop
3064,pop urbaine
3065,rap conscient
3066,rap francais
3067,french hip hop
3068,pop urbaine
3069,rap conscient
3070,rap francais
3071,french hip hop
3072,pop urbaine
3073,rap conscient
3074,rap francais
3075,french hip hop
3076,pop urbaine
3077,rap conscient
3078,rap francais
3079,french hip hop
3080,pop urbaine
3081,rap conscient
3082,rap francais
3083,german hip hop
3084,german hip hop
3085,german trap
3086,greek hip hop
3087,greek trap
3088,classic icelandic pop
3089,icelandic pop
3090,icelandic rock
3091,italian indie pop
3092,rome indie
3093,k-pop
3094,k-pop girl group
3095,dutch hip hop
3096,dutch pop
3097,dutch rap pop
3098,nordnorsk musikk
3099,norwegian indie
3100,norwegian pop
3101,norwegian singer-songwriter
3102,talentkonkurranse
3103,dance pop
3104,edm
3105,electro house
3106,electropop
3107,norwegian pop
3108,pop
3109,pop dance
3110,pop edm
3111,tropical house
3112,swedish hip hop
3113,swedish trap pop
3114,alternative dance
3115,new french touch
3116,norwegian pop
3117,romanian trap
3118,russian hip hop
3119,russian hip hop
3120,russian pop
3121,russian grime
3122,russian hip hop
3123,russian trap
3124,russian gangster rap
3125,russian hip hop
3126,russian pop
3127,russian drain
3128,russian hip hop
3129,russian trap
3130,russian pop
3131,russian gangster rap
3132,russian hip hop
3133,russian pop
3134,alternative hip hop
3135,boom bap
3136,east coast hip hop
3137,gangster rap
3138,hardcore hip hop
3139,hip hop
3140,old school hip hop
3141,queens hip hop
3142,rap
3143,turntablism
3144,czech hip hop
3145,czsk hip hop
3146,afro soul
3147,amapiano
3148,south african pop
3149,afro soul
3150,amapiano
3151,south african pop
3152,dance pop
3153,pop
3154,dance pop
3155,pop
3156,reggaeton
3157,trap boricua
3158,trap latino
3159,trap triste
3160,swedish hip hop
3161,swedish trap pop
3162,swedish pop
3163,swedish pop rap
3164,swedish drill
3165,swedish hip hop
3166,swedish trap pop
3167,fotbollslatar
3168,swedish eurodance
3169,swedish pop
3170,albanian hip hop
3171,albanian pop
3172,taiwan pop
3173,turkish hip hop
3174,turkish trap pop
3175,turkce drill
3176,turkish hip hop
3177,turkish trap pop
