track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo_x,duration_ms,time_signature,update_dttm,name,artist,album_img,preview_url,popularity,basic_kmeans_cluster,chroma,chroma_cens,mff,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,Spectral_Rolloff,poly_features,tonnetz,ZCR,onset_strength,pitch,magnitude,tempo
6Qg42mHmwZdqT4LpV3KnvP,0.662,0.63,1,-5.14,1,0.23,0.163,7.09e-06,0.04,0.436,105.018,530691,4,12/4/2021 10:20,Szív,Krúbi,https://i.scdn.co/image/ab67616d0000b273b0b6fdbbc5315e68f9eb4764,,54,3,,,,,,,,,,,,,,,
6b31SENcbKaLL0ujHR6rbv,0.43,0.942,5,-4.104,0,0.13,0.0871,6.62e-05,0.38,0.257,75.054,162400,4,12/4/2021 10:20,BOOM,DJ Muscleboy,https://i.scdn.co/image/ab67616d0000b273c51dcaafab26018d579910e0,https://p.scdn.co/mp3-preview/d6f6d285a986e22aec6227859956a6fc01c564d4?cid=92635a7f55d045ebb6fb8dee4927d449,45,0,0.34145024,0.253324164,3.2705927,3352.383292,2791.071419,20.09547222,0.0780672,6811.417146,3.82120764,-8.32e-05,0.189062727,1.1884214,65.65269,0.5575469,151.9990809
0kKVxEL8ia1F3vKQj6GVeL,0.779,0.519,2,-5.962,1,0.0351,0.286,0.0,0.135,0.724,104.97,200607,4,12/4/2021 10:20,Ætla ekki að eyða þeim ein,Jóhanna Guðrún,https://i.scdn.co/image/ab67616d0000b27364253f8c22285eb9f03c615c,https://p.scdn.co/mp3-preview/4996cc0cb3b6920888b947e67770b74059070909?cid=92635a7f55d045ebb6fb8dee4927d449,34,3,0.34837085,0.257704168,4.8889213,2520.981042,2610.86537,21.75869726,0.023841046,5483.375176,2.961407431,0.007108834,0.096775681,1.9159238,13.277324,0.25780395,103.359375
2BzAGK3lEZAQz5cU0Ae1wd,0.723,0.713,2,-6.879,0,0.241,0.495,0.0,0.513,0.803,143.052,158601,4,12/4/2021 10:20,Flowers (Say My Name),ArrDee,https://i.scdn.co/image/ab67616d0000b2734dc37fa4edf46ded933f30f0,,81,1,,,,,,,,,,,,,,,
5e4PVtYVBu9BpJVhmQhIvS,0.485,0.42,7,-8.801,0,0.036,0.575,0.0,0.0907,0.113,124.444,238090,4,12/4/2021 10:20,שמש,Hanan Ben Ari,https://i.scdn.co/image/ab67616d0000b273d6f218b25777558b14588d82,https://p.scdn.co/mp3-preview/6b10b4f7018a40d235bb06eb22e1a6ed1c198b94?cid=92635a7f55d045ebb6fb8dee4927d449,55,5,0.33914125,0.247780404,6.778068,1674.22736,2165.908947,22.64731792,0.003904502,3486.728916,3.262446864,0.052575848,0.064103165,1.3394483,10.050603,0.3231312,123.046875
0lwo64aO3YEjcnJGTFHYR1,0.537,0.814,7,-5.855,1,0.281,0.252,0.0,0.117,0.505,175.878,212898,5,12/4/2021 10:20,Come nelle canzoni,Coez,https://i.scdn.co/image/ab67616d0000b273104ab3da6a0dcaade94c53c2,https://p.scdn.co/mp3-preview/2b688350ae3219a2b6b5d8026a7a11ca3902db8b?cid=92635a7f55d045ebb6fb8dee4927d449,74,2,0.3937022,0.2617079,7.1200705,2183.763183,2494.642959,21.33509422,0.01574859,4988.20317,3.392283349,0.046868918,0.089388348,1.4458743,16.44558,0.35320306,172.265625
6rJ9urIYzdm6JObJzYTIbL,0.776,0.838,9,-5.919,1,0.0538,0.212,0.0,0.31,0.672,120.015,185031,4,12/4/2021 10:20,LA STREGA DEL FRUTTETO (feat. chiello & Madame),Sick Luke,https://i.scdn.co/image/ab67616d0000b2731034ddcb2e17315acebcbd1e,,65,8,,,,,,,,,,,,,,,
209vinNF5EXSNq4S8faeIw,0.797,0.464,1,-9.441,1,0.309,0.607,0.0,0.113,0.266,132.075,227185,4,12/4/2021 10:20,"Fa' o' Brav' (feat. Emis Killa, Yung Snapp, MV Killa, Lele Blade)",Rocco Hunt,https://i.scdn.co/image/ab67616d0000b2733c65174669f463c915b091a1,https://p.scdn.co/mp3-preview/c99b32b6b26f2e53ba50a3110314c176318fb712?cid=92635a7f55d045ebb6fb8dee4927d449,67,9,0.4078537,0.258696122,3.4740932,2377.95409,2555.762155,20.55069913,0.024015168,5062.394388,2.259774315,-0.030967931,0.089314275,2.1416893,14.749994,0.20251933,129.1992188
2tHqZDSI6pkrvd8I77zvwg,0.498,0.659,1,-8.681,1,0.311,0.157,6.37e-05,0.199,0.391,141.008,173488,4,12/4/2021 10:20,"GENNARO & CIRO (feat. Baby Gang, Lacrim, Nko)",Sacky,https://i.scdn.co/image/ab67616d0000b273a437c4bbbad5512609b4f52b,https://p.scdn.co/mp3-preview/e3c7018aa13e89d68483b817c645531bc064bb74?cid=92635a7f55d045ebb6fb8dee4927d449,66,2,0.50960255,0.252064911,6.011423,2216.376198,2525.355661,19.08410916,0.022694748,4962.778324,2.967536262,-0.006053614,0.086907638,1.7749012,20.391663,0.2602708,143.5546875
59PXeRc2Y4VH209RvyaDv2,0.552,0.752,0,-7.747,1,0.268,0.425,0.0,0.147,0.728,87.364,187612,4,12/4/2021 10:20,Fantastica,Rocco Hunt,https://i.scdn.co/image/ab67616d0000b2733c65174669f463c915b091a1,https://p.scdn.co/mp3-preview/8bcea90dd1670f326190d0ca705f9712f12378d4?cid=92635a7f55d045ebb6fb8dee4927d449,59,3,0.3493536,0.274057016,5.4371634,2461.417271,2732.609772,21.43998098,0.018831257,5737.715305,2.906689576,0.052610638,0.098820264,1.5739397,12.933941,0.304721,117.4538352
3dQf8vJMNLhNBaeHscxDUK,0.871,0.599,11,-7.228,0,0.346,0.22,0.0,0.0925,0.31,126.157,171426,4,12/4/2021 10:20,Solido (feat. Guè Pequeno),Rocco Hunt,https://i.scdn.co/image/ab67616d0000b2733c65174669f463c915b091a1,https://p.scdn.co/mp3-preview/dcccc7eeec5276601353ca16118589db8bed0f7b?cid=92635a7f55d045ebb6fb8dee4927d449,59,9,0.39364627,0.219336201,5.167021,2480.080926,2770.128658,21.39541369,0.015329128,5729.982018,2.300116934,0.047424558,0.072260334,1.8807116,5.933476,0.16542903,129.1992188
3aF5bxpeMFvR0rgxopTQhB,0.622,0.568,10,-7.635,0,0.0333,0.29,2.31e-06,0.0612,0.232,79.037,203048,4,12/4/2021 10:20,Es Tā Jūtos,Katō,https://i.scdn.co/image/ab67616d0000b2733578f0232ce555fa37cbf8c5,https://p.scdn.co/mp3-preview/59180765ad3dda2c506b609f87578de5de2426c1?cid=92635a7f55d045ebb6fb8dee4927d449,34,0,0.3617231,0.242744067,4.441601,2586.336122,2671.921868,20.79729725,0.02545545,5715.132108,2.363709635,-0.034451345,0.101555697,1.3263824,14.085463,0.2259792,107.6660156
2kC1KJ98P0Ty9fGZeMs1h2,0.687,0.763,0,-7.339,0,0.0412,0.00095,5.95e-06,0.365,0.739,155.889,146489,4,12/4/2021 10:20,Push It,$hirak,https://i.scdn.co/image/ab67616d0000b27340262f45c02ceb617ebd3d08,,60,4,,,,,,,,,,,,,,,
64N6kmOcJRlPcKzGicLCTY,0.953,0.498,1,-8.927,1,0.352,0.0102,0.0,0.0963,0.511,131.992,216387,4,12/4/2021 10:20,Multi Multi,$hirak,https://i.scdn.co/image/ab67616d0000b27340262f45c02ceb617ebd3d08,,63,9,,,,,,,,,,,,,,,
1PJ4gIjOR6mVNWYj5fpPyd,0.772,0.424,7,-12.314,1,0.307,0.0545,0.0,0.0956,0.687,140.111,219750,4,12/4/2021 10:20,50 Bro's (Remix),Bully,https://i.scdn.co/image/ab67616d0000b27370b9e901e257635786b52f4e,https://p.scdn.co/mp3-preview/3207bc89dc60e46cc72022a8da49d6fa3972f5f1?cid=92635a7f55d045ebb6fb8dee4927d449,63,9,0.39636302,0.244230254,-2.8669286,3142.951427,2941.036949,21.05719906,0.04054887,6683.959583,1.019401753,0.060028623,0.133228597,2.2361746,16.792387,0.08903085,112.3471467
