,track_id,chroma,chroma_cens,mff,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,Spectral_Rolloff,poly_features,tonnetz,ZCR,onset_strength,pitch,magnitude,tempo
0,0gplL1WMoJ6iYaPgMCL0gX,0.28596696,0.2152565183778572,4.5777745,2361.75945985446,2706.643700825267,24.713588979200164,0.008881651,5533.999869993228,2.47178532301221,0.0214913799184409,0.0869450524864551,1.3764478,8.89463,0.27014005,143.5546875
1,5PjdY0CKGZdEuoNab3yDmX,0.37063235,0.2489721964102359,7.376078,2704.788753167085,2800.9041780832767,21.101279461228767,0.027750738,6102.838096972959,3.796993002925968,-0.0277756666923857,0.1071766005950077,1.5048147,13.420836,0.28461888,172.265625
2,5Z9KJZvQzH6PFmb8SNkxuk,0.5010787,0.2298767310046219,3.85115,2936.922088486708,2847.2549984456464,20.76784876789109,0.036877837,6384.803058636077,2.731199913758476,-0.0173144126104916,0.1188239224554953,1.4881753,22.163973,0.18758991,151.99908088
3,75MNhvTCCKsST3YqqUiU9r,0.36763301,0.254582658217757,4.0924945,3656.4045961035063,2992.14109914372,20.75926974188244,0.07292712,7375.49706804494,4.140634712246405,0.005475891080272,0.2017497248693885,1.5566232,38.060577,0.5503079,143.5546875
4,6PQ88X9TkUIAUIZJHW2upE,0.398718,0.2543390293372874,8.43274,2114.8582754828494,2618.297533537587,21.44389694706016,0.015265684,5063.077717595056,3.635839687895971,0.0084327215622818,0.0643884995404411,1.640611,7.8829374,0.2863581,123.046875
5,46HNZY1i7O6jwTA7Slo2PI,0.41455984,0.2620320620741622,9.848547,2563.3043990966703,2681.4036933904204,20.361921823048217,0.026234178,5718.948751632644,4.649403217169277,-0.0093020410817972,0.1064029847136222,1.1570448,19.242746,0.45513046,103.359375
6,2B4GHvToeLTOBB4QLzW3Ni,0.327843,0.2636107764317584,4.6036396,2568.727683042838,2657.36960794022,20.402135500953936,0.027949354,5744.123599403783,3.4080964704737617,0.036640592909134,0.1095344850522445,1.4624873,23.219154,0.43008718,129.19921875
7,6Uj1ctrBOjOas8xZXGqKk4,0.41328987,0.2788533941708519,4.1942325,2373.4950904119823,2606.937008582522,19.895880919056985,0.024418214,5194.826920925649,3.574860723446265,0.01158947705128,0.088993792932469,2.1165042,16.63913,0.32748726,107.66601562
8,2Xr1dTzJee307rmrkt8c0g,0.34621936,0.2590291399957295,2.83783,2376.5886023030434,2755.1001121517056,21.41084525190886,0.021176947,5721.140405046682,3.4913937395735624,-0.0027625923096924,0.0791676996662151,1.7076746,12.559376,0.4159629,184.5703125
9,4gvrJnKCKIPiacNsWVQwEU,0.391757,0.2385185663735883,4.847871,1510.376870325806,1964.4354245638265,21.609063231293508,0.010296955,3041.423275596217,3.3130185762165647,-0.0006695916508208,0.0528908366389318,1.625922,10.201238,0.38455436,117.45383523
10,0e8nrvls4Qqv5Rfa2UhqmO,0.43216753,0.26308123441089,6.2176185,2450.199921063337,2526.714611090429,21.151177216333767,0.023908861,5284.426379129983,3.507524135071594,-0.0158127133990364,0.1038519797310371,1.6443224,17.468414,0.2759872,117.45383523
11,3Vi5XqYrmQgOYBajMWSvCi,0.3752315,0.2284712421718155,0.62494594,3241.6752200315964,3048.1157896192385,21.15898413277064,0.030435568,7022.099204993469,2.59515822284286,-0.0517593802941068,0.1246292539425309,1.6293318,13.900156,0.19383483,129.19921875
12,3Wrjm47oTz2sjIgck11l5e,0.39673042,0.2659430009634776,5.4015746,2359.739125651252,2472.5717241585403,20.355477496993885,0.019420065,4955.26170287708,4.002398921800692,-0.0220110553023104,0.0964389482149767,1.5934209,22.998758,0.4071668,135.99917763
13,0eu4C55hL6x29mmeAjytzC,0.34279957,0.2376780487207483,4.5993752,2274.2943049423498,2302.7225148936327,21.90532883757752,0.01913122,4466.747990186001,3.209605405255425,0.0724137345069496,0.1036286250725619,1.6945597,25.055256,0.33453137,161.49902344
14,1SC5rEoYDGUK4NfG82494W,0.40802902,0.2250394164687788,4.3681116,2806.572429506084,2865.981346817844,21.009048261117293,0.029178407,6270.703748578996,3.0268547353510624,0.0428466838322207,0.1139724778686145,1.5510615,18.885462,0.3068691,117.45383523
15,3DarAbFujv6eYNliUTyqtz,0.38682705,0.264891681954727,5.76072,2776.612944426552,2917.2701419517166,21.16981559187189,0.025321003,6239.187272488149,3.4895906238722443,0.0046097374517876,0.1044502376402863,1.9758248,12.184248,0.31031582,112.34714674
16,4gzsuuZypVbxs0Af1LSZyB,0.4149419,0.2675134143217673,6.1534142,2177.6857538709405,2571.161550131636,22.50633259276143,0.011981798,5277.176422969475,3.3556243704557063,0.00013038701346,0.0762032429131192,1.8518516,9.4010725,0.26575845,172.265625
17,2JPLbjOn0wPCngEot2STUS,0.45735386,0.2710759047023336,5.285554,2279.4012290905057,2562.553762118549,22.44145618031081,0.013058668,5147.960537653589,3.2919635887750416,-0.0200831339871204,0.0832542206849845,1.92874,16.143568,0.24494752,123.046875
18,5nujrmhLynf4yMoMtj8AQF,0.46364653,0.2717111880306,7.471249,2909.446543241496,2792.404190004301,19.70088087173174,0.042733107,6292.436950494631,4.635401048042684,-0.0065033992535618,0.130558545375387,1.3744099,30.148142,0.47862154,103.359375
19,3uUuGVFu1V7jTQL60S1r8z,0.43835244,0.2481802362725505,7.355119,1651.6393249538407,2210.148566616712,21.259375619315595,0.007047138,3700.035959722088,2.8633081817710866,0.0062664054097593,0.0457351731811145,1.8082305,5.6812763,0.20283034,123.046875
20,5RwV8BvLfX5injfqYodke9,0.42231554,0.2707966968771559,6.663739,2273.3143559651226,2518.3404151463383,21.923977100101173,0.015019849,4971.211606430195,3.839377934888293,-0.0233367800728205,0.0827606484616873,1.7154008,15.230236,0.34263286,129.19921875
21,2vmfvSoZBFAt9hhRoEByLi,0.38065895,0.2517501432691353,4.6429744,2314.6391900446392,2451.4310953475,21.51727997205184,0.023538629,4933.803499298568,3.399526085509132,-0.0334998297360722,0.0944975389415634,2.0416305,20.800585,0.3253291,117.45383523
22,0bI7K9Becu2dtXK1Q3cZNB,0.38586944,0.2449112767199111,3.4036655,2645.3534538666177,2757.072010788453,21.49961538386771,0.029207332,5807.298217395511,3.3925522581543417,-0.0105034650853654,0.1018512359713622,1.6577598,18.438435,0.3503386,117.45383523
23,2QjOHCTQ1Jl3zawyYOpxh6,0.39490098,0.240315278500873,8.634969,1790.9285127967128,1875.712161016204,20.055944080702965,0.011873452,3593.4699374455786,5.452306680110064,0.0465250770816478,0.0933482639560758,1.290451,35.778324,0.70267713,123.046875
24,2BEcap3xJtmiPaHKyfQi4e,0.35948354,0.2529049503266064,3.517468,2398.360399172095,2606.8995800276443,21.03746809053331,0.020030895,5380.725796820579,4.133088088977592,0.0586764479029058,0.0998297062451625,1.6172669,21.041119,0.5045176,129.19921875
25,4SqWKzw0CbA05TGszDgMlc,0.3283572,0.2421577766274329,2.5715,2089.151793177559,2338.012199101444,21.72834513760697,0.0148913115,4564.247400620405,3.8375901108290473,0.0048813201199759,0.0903150245501161,1.1205418,23.320219,0.5480582,151.99908088
26,6Dy1jexKYriXAVG6evyUTJ,0.4431111,0.2637251023139393,5.341468,2991.5073658391207,2844.5470940554223,19.704367378223417,0.051229313,6409.419576450029,3.5406075491075697,-0.0107654141423142,0.1278212225474071,1.7898935,31.091965,0.3199776,123.046875
