capture_dttm,track_artist,track_name,track_id,track_popularity,track_number,track_preview_url,track_duration,track_added_date
2021-11-19 18:37:05.877098,Alesso,Somebody To Use,2CMGiyYO8H8GhPwS73LL13,0,23,,154031,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Christina Aguilera,Somos Nada,1kqpo5oFmTYTuHyofHToQ3,0,24,https://p.scdn.co/mp3-preview/27f903bfee6afb74de2e5607b156473825d19c8b?cid=92635a7f55d045ebb6fb8dee4927d449,181838,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Tyga,Lift Me Up,7bH9S0IHoM5kznWf1432zZ,0,25,https://p.scdn.co/mp3-preview/b57a60ffac6869a01ecae745c76b885feb5437f2?cid=92635a7f55d045ebb6fb8dee4927d449,168224,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Masego,Yamz,0IQ3KOas5wGRregqoMb9HF,0,26,,245071,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,glaive,prick,6IUVdUkKw18jHqFAjl7y8k,0,27,,134111,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Slump6s,Lincoln,0siaNLUtg2GmAoVUpuyGEr,27,28,,166217,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Lozeak,Word Vomit,579Toef3RjBEXfFMXvwkqp,0,29,https://p.scdn.co/mp3-preview/cc90cba6f1ba7e35f9491f8e438f1ac12b32fbc0?cid=92635a7f55d045ebb6fb8dee4927d449,146900,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Young Franco,Real Nice (H.C.T.F.) (feat. Nerve),7IcfiG6VRJYZMvRxRYlYGp,0,30,,160816,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Morray,Never Fail (with Benny The Butcher),0myEYpzyBetSo4tgKs7oUx,15,31,,200800,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,YEИDRY,Instinto,7eQ1a5DgRxRnyrhNM7Kql5,0,32,,228586,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Jennifer Lopez,On My Way (Marry Me),0PjqDT5SzI91kgzGnylyOd,0,33,https://p.scdn.co/mp3-preview/ef8e1bf899afef8c8de2b49c18ca7ddf6af9e58f?cid=92635a7f55d045ebb6fb8dee4927d449,192571,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Walker Hayes,AA,77oKig47u34qCCFWKMfu1e,0,34,https://p.scdn.co/mp3-preview/e6ca84935b2cf2fe3c0ca8b7635a591d4f045015?cid=92635a7f55d045ebb6fb8dee4927d449,189560,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Mckenna Grace,Haunted House,4SLV1kwfWgTVgYjxl9wf4y,0,35,,192430,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Emmy Meli,I AM WOMAN,3nOz1U41SZZ0N3fuUWr9nb,0,36,https://p.scdn.co/mp3-preview/388a6dd438c25eb99a6cacbd06df23544cd944f7?cid=92635a7f55d045ebb6fb8dee4927d449,232813,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Wallice,Wisdom Tooth,4L7LSrveE3uOM57YxtD2eS,0,37,https://p.scdn.co/mp3-preview/ba7d30b033abc40e6dd8f2a27b9b3d9b6aed426b?cid=92635a7f55d045ebb6fb8dee4927d449,156208,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,aldn,m box,2iZf5y9Ce6smoZiGkC0aAg,30,38,,152500,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Saba,Stop That,74VD75tGYXIHyZR0CmKFWX,0,39,https://p.scdn.co/mp3-preview/6296cb337ae368278880f9e6af23a940b0272988?cid=92635a7f55d045ebb6fb8dee4927d449,138946,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,EST Gee,Lamborghini Geeski,6zKn5ATZWR6XUeK53UoOKC,0,40,,171349,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Blxst,Go To War,5iidIZADOqvVmH8MgpPipq,17,41,,171091,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Kavinsky,Renegade,7n74B8CVy1kWH0IOXnbrj2,0,42,,197640,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Dom Dolla,Strangers - with Mansionair,5nBqvq3hUl8n6HtKtwNphW,0,43,https://p.scdn.co/mp3-preview/9d7d721be5e97ddca20bd47ea4dbd1cede16ccd9?cid=92635a7f55d045ebb6fb8dee4927d449,217390,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,JVKE,anxiety.,4UN1cxXIlQhmOWXhEkrBqu,36,44,https://p.scdn.co/mp3-preview/68dcb7f251a5d1b553529fbf18d97815c236b670?cid=92635a7f55d045ebb6fb8dee4927d449,156794,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,salem ilese,Hey Siri,4R50WBxYsOjc79RC5WTOAg,28,45,,140000,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Bryce Vine,Empty Bottles (feat. MOD SUN),2j9UWkSA9T4mUAXrcBi2Fr,0,46,https://p.scdn.co/mp3-preview/e70270ea13a2cfb96ef5e9ae25d3a4a4ce7d873e?cid=92635a7f55d045ebb6fb8dee4927d449,156935,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Two Feet,Until I Come Home,0ZWfWytIwA7UwvB8oCNndU,0,47,https://p.scdn.co/mp3-preview/0a6dd35d26cff15997923daf79c6020b92646482?cid=92635a7f55d045ebb6fb8dee4927d449,195837,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Ashley Kutcher,Strangers,3p6CJ6SEqeE2ar8EGHx1XU,0,48,,147533,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Gabby Barrett,Never Get It Back,5xTGNrUdGKwbn4jA90H58B,0,49,https://p.scdn.co/mp3-preview/c2e63065382a12ca2c0bc209ba76d1b993d385b4?cid=92635a7f55d045ebb6fb8dee4927d449,251591,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Aiyana-Lee,Gangster of Love,1XXNLuG4TNBUiIM9QF3XLF,0,50,https://p.scdn.co/mp3-preview/f96ca70dd621ae2ca0473f12d58c7349154ad5d0?cid=92635a7f55d045ebb6fb8dee4927d449,227844,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,LPB Poody,I'm The One,44T0AhTa6pkc4mEqUGta1s,0,51,,168272,2021-11-19T05:00:00Z
