capture_dttm,track_artist,track_name,track_id,track_popularity,track_number,track_preview_url,track_duration,track_added_date
2021-11-26 18:00:03.069422,Anuel AA,Llorando en un Ferrari,0x4Kmsd1YLB9emO8thJ62U,0,1,https://p.scdn.co/mp3-preview/617b867b55a083b16e1d1b4257ac6be6f95a216e?cid=92635a7f55d045ebb6fb8dee4927d449,193237,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,Rod Wave,By Your Side,2AaJeBEq3WLcfFW1y8svDf,65,2,https://p.scdn.co/mp3-preview/854f09cfbe473f68a17f385f84167b45a370d1e8?cid=92635a7f55d045ebb6fb8dee4927d449,194050,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,Jessie Murph,Always Been You,2zpZkOV7sD9C4Cv0cukoHV,61,3,https://p.scdn.co/mp3-preview/4c6c8b4937257b947f6981d78b94b102057dc2d3?cid=92635a7f55d045ebb6fb8dee4927d449,131824,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,Kali Uchis,Another day in America (with Ozuna),0SRBovIdW5xMxuw7ZR9pHz,0,4,,167000,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,Alan Walker,Man On The Moon,0zqBZqm5czQ3A4EoSdKFHj,0,5,https://p.scdn.co/mp3-preview/f87ff33d85910a0ab91bf17f3ec23b1de61000d2?cid=92635a7f55d045ebb6fb8dee4927d449,178625,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,$NOT,Go,0cNAaZbkK61jCej9BP1NoJ,55,6,https://p.scdn.co/mp3-preview/11f793c501eafd07d0dd51d3088d4d861abf5cb6?cid=92635a7f55d045ebb6fb8dee4927d449,132640,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,42 Dugg,Can't Complain (feat. Reaper),1eM4fra8uJEPwnuqleb0Xd,3,7,,155776,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,Montell Fish,Destroy Myself Just For You,7vMDFGBs0CTEkENk2dyCnc,0,8,https://p.scdn.co/mp3-preview/19896d029db512fdef2418db943649005eee8d8d?cid=92635a7f55d045ebb6fb8dee4927d449,146000,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,Jack Kays,OUTRUN MYSELF (with Travis Barker),109mkG2S2huV1S5xFRbJgF,46,9,https://p.scdn.co/mp3-preview/899518f8e8e875fd0d7fc5e36be624fb1fb8bf2c?cid=92635a7f55d045ebb6fb8dee4927d449,144102,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,Kota the Friend,Grateful,2wmZFiWL7MKt2vQe6DPanz,46,10,https://p.scdn.co/mp3-preview/e51ef060c57248aea9629ac3af1d62f543b4a5b3?cid=92635a7f55d045ebb6fb8dee4927d449,241397,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,Mura Masa,2gether,4dzBqc5t2GWJKpGqUoTbrU,0,11,,191074,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,Claire Rosinkranz,don't miss me,5MG69A9XyXDbBbeOxdR3Tl,48,12,,123949,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,Years & Years,Sweet Talker,6FRxFke9VsjXmibGgSeKki,45,13,,176930,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,AURORA,Midas Touch,2H5uvk1o7ZpEHtclzN91Fh,37,14,,161666,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,Sech,Borracho,0rsTDgGRlXKuzSAxcdb4Ns,0,15,https://p.scdn.co/mp3-preview/c5ea278efab9aa0c878444e3d550be8c1038be44?cid=92635a7f55d045ebb6fb8dee4927d449,219750,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,Blueface,Chose Me,2TXPpyvAghVDKSBeyEuUEH,0,16,https://p.scdn.co/mp3-preview/1164bef78970cf5abcf602892497f6f19ee15f6a?cid=92635a7f55d045ebb6fb8dee4927d449,144463,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,midwxst,Shame,2SGlRbQZwOID4xScKqF0lC,36,17,,88952,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,Ama Lou,Talk Quiet,7sdWbnUGRzpWJmupEpXJiP,0,18,,200066,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,Kurtis Wells,Forever Young,71AHzuaLWkVxt5UrCmLvOB,0,19,https://p.scdn.co/mp3-preview/6dd88805bbda9a8654963d156c64fc7ba66c41ad?cid=92635a7f55d045ebb6fb8dee4927d449,176277,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,Sipper,Losers,1eefRCECiFkeCI7QgcadsC,0,20,https://p.scdn.co/mp3-preview/4a1485a5a5414e8b9b8352e4ffaf692bbca6092a?cid=92635a7f55d045ebb6fb8dee4927d449,177908,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,daine,IDC,5OwLlkNv9SisPU2ERTks0t,30,21,https://p.scdn.co/mp3-preview/4ade75e67640ef41e9ff7923c0c7c35915fafd86?cid=92635a7f55d045ebb6fb8dee4927d449,157466,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,Catie Turner,God Must Hate Me,21xzFXSL2XkZ2mIzDDAqTK,49,22,https://p.scdn.co/mp3-preview/df95111f7aaa27d7bdc83d8ec5814265a49511fb?cid=92635a7f55d045ebb6fb8dee4927d449,149802,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,Robyn Ottolini,Boujee On A Budget,7bie6DewBFHLRD1tsGUYoW,24,23,https://p.scdn.co/mp3-preview/4eafd9dcdcf1e9c3436423676eb9819a427f7342?cid=92635a7f55d045ebb6fb8dee4927d449,185691,2021-11-26T05:00:00Z
2021-11-26 18:00:03.069422,John Summit,Human (feat. Echoes),4G4patpYxsF6ovHZOX9wgR,36,24,https://p.scdn.co/mp3-preview/71d0b531f732f0c87bfa2217c4a69693591b70b7?cid=92635a7f55d045ebb6fb8dee4927d449,219047,2021-11-26T05:00:00Z
