country,market,capture_dttm,track_artist,track_name,track_id,track_popularity,track_number,track_preview_url,track_duration,track_added_date
global,GO,2021-11-28 08:00:03.208356,Adele,Easy On Me,46IZ0fSY2mpAiktS3KOqds,88,1,https://p.scdn.co/mp3-preview/c5014be1aeb2ab5f129e2789eff3ea87ecd5027f?cid=92635a7f55d045ebb6fb8dee4927d449,224694,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,The Kid LAROI,STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,92,2,https://p.scdn.co/mp3-preview/dd4d8d66b97b6edcb5358135e72620715e1449f9?cid=92635a7f55d045ebb6fb8dee4927d449,141805,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,90,3,https://p.scdn.co/mp3-preview/c1cb40d748692992bd5e476fc17ffe16f31016e3?cid=92635a7f55d045ebb6fb8dee4927d449,212352,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Elton John,Cold Heart - PNAU Remix,7rglLriMNBPAyuJOMGwi39,86,4,,202735,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Glass Animals,Heat Waves,02MWAaffLxlfxAUY7c5dvx,91,5,,238805,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Mariah Carey,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,88,6,https://p.scdn.co/mp3-preview/bbafd15ff484394a0ca106d5fef0a81eeea4ef5b?cid=92635a7f55d045ebb6fb8dee4927d449,241106,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,GAYLE,abcdefu,4fouWK6XVHhzl78KzQ1UjL,88,7,https://p.scdn.co/mp3-preview/25a618c8bbf72ac750ab2024c8b987820ecc1cd1?cid=92635a7f55d045ebb6fb8dee4927d449,168601,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,94,8,,613026,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Ed Sheeran,Shivers,50nfwKoDiSYg8zOCREWAm5,93,9,https://p.scdn.co/mp3-preview/bb9f413d6876e265d09a5d2d93345c64f8ac4de8?cid=92635a7f55d045ebb6fb8dee4927d449,207853,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Farruko,Pepas,2B4GHvToeLTOBB4QLzW3Ni,84,10,https://p.scdn.co/mp3-preview/890f6034cf93d666d0f89d5724430c6ddd276eb2?cid=92635a7f55d045ebb6fb8dee4927d449,287120,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ,92,11,,173381,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Adele,Oh My God,3Kkjo3cT83cw09VJyrLNwX,91,12,https://p.scdn.co/mp3-preview/c37959aa69d5ff67815e8748451b32b6c81d84a8?cid=92635a7f55d045ebb6fb8dee4927d449,225148,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,90,13,https://p.scdn.co/mp3-preview/e0440ae1a5a38687fb54170742e9b83ebd33ddf3?cid=92635a7f55d045ebb6fb8dee4927d449,230746,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Wham!,Last Christmas,2FRnf9qhLbvw8fu4IBXx78,84,14,https://p.scdn.co/mp3-preview/ad0a6b7428ef900b169449b24c335d885dc029d0?cid=92635a7f55d045ebb6fb8dee4927d449,262960,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,ACRAZE,Do It To It,20on25jryn53hWghthWWW3,90,15,,157890,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Coldplay,My Universe,46HNZY1i7O6jwTA7Slo2PI,86,16,https://p.scdn.co/mp3-preview/5da74c03a1f17ed58315050022c1452fb431a2ad?cid=92635a7f55d045ebb6fb8dee4927d449,226198,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Doja Cat,Woman,6Uj1ctrBOjOas8xZXGqKk4,95,17,https://p.scdn.co/mp3-preview/5f583b2ce5aff7762b6611a85907d55349a62db1?cid=92635a7f55d045ebb6fb8dee4927d449,172626,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Bruno Mars,Smokin Out The Window,7sMBvZCSUl99bJLXZaLa0b,79,18,https://p.scdn.co/mp3-preview/5c0216fcadf85b6dd7653bada342ead1f0881db8?cid=92635a7f55d045ebb6fb8dee4927d449,197442,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,LISA,MONEY,7hU3IHwjX150XLoTVmjD0q,92,19,,168227,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Michael Bublé,It's Beginning to Look a Lot like Christmas,0lLdorYw7lVrJydTINhWdI,72,20,https://p.scdn.co/mp3-preview/798a8bc5a7a95ccad75648a63bc50aa755dc2289?cid=92635a7f55d045ebb6fb8dee4927d449,206639,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,CKay,love nwantiti (ah ah ah),2Xr1dTzJee307rmrkt8c0g,94,21,https://p.scdn.co/mp3-preview/a04d7225d1bce725dc9ee38e8fed32b56368d562?cid=92635a7f55d045ebb6fb8dee4927d449,145800,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Bobby Helms,Jingle Bell Rock,7vQbuQcyTflfCIOu3Uzzya,83,22,,130973,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,BoyWithUke,Toxic,2gQPv5jvVPqU2a9HhMNO1v,87,23,,168020,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Post Malone,One Right Now (with The Weeknd),00Blm7zeNqgYLPtW6zg8cj,92,24,,193506,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Olivia Rodrigo,good 4 u,4ZtFanR9U6ndgddUvNcjcG,94,25,,178146,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Brenda Lee,Rockin' Around The Christmas Tree,2EjXfH91m7f8HiJN1yQg97,84,26,,126266,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,CKay,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,4gvrJnKCKIPiacNsWVQwEU,93,27,https://p.scdn.co/mp3-preview/fbbecf458216fefa0e48c4b498fee4f5875ba2fa?cid=92635a7f55d045ebb6fb8dee4927d449,188368,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Måneskin,Beggin',3Wrjm47oTz2sjIgck11l5e,94,28,https://p.scdn.co/mp3-preview/c956a56a9a3103ad75e95ce2cbb03a0bdd26332b?cid=92635a7f55d045ebb6fb8dee4927d449,211560,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Lil Nas X,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,94,29,https://p.scdn.co/mp3-preview/75aa4d781c96fe990214d04f4e61efb702bf635c?cid=92635a7f55d045ebb6fb8dee4927d449,143901,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Doja Cat,Need to Know,3Vi5XqYrmQgOYBajMWSvCi,93,30,https://p.scdn.co/mp3-preview/ed198c528573d97b1ef0c730af1da4f875fc04a4?cid=92635a7f55d045ebb6fb8dee4927d449,210560,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Lil Nas X,MONTERO (Call Me By Your Name),1SC5rEoYDGUK4NfG82494W,90,31,https://p.scdn.co/mp3-preview/a6e05149543aaa36a3a87ca26665fbd9043f85fd?cid=92635a7f55d045ebb6fb8dee4927d449,137704,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Doja Cat,Kiss Me More (feat. SZA),3DarAbFujv6eYNliUTyqtz,86,32,https://p.scdn.co/mp3-preview/43a9157b0d8e28bfbade57804a06344894336755?cid=92635a7f55d045ebb6fb8dee4927d449,208666,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Ariana Grande,Santa Tell Me,0lizgQ7Qw35od7CYaoMBZb,84,33,,204093,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Lost Frequencies,Where Are You Now,3uUuGVFu1V7jTQL60S1r8z,92,34,https://p.scdn.co/mp3-preview/0825558fecb2dd0c63a761fa24e9d25a6192b855?cid=92635a7f55d045ebb6fb8dee4927d449,148197,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Adele,Can I Get It,6w8ZPYdnGajyfPddTWdthN,88,35,https://p.scdn.co/mp3-preview/fcbda57102f62fbab2f827dd4719e038ddfd3e61?cid=92635a7f55d045ebb6fb8dee4927d449,210384,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),09gysnJpfQ3ublBmJDfcEC,67,36,,204763,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Tainy,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),4gzsuuZypVbxs0Af1LSZyB,92,37,https://p.scdn.co/mp3-preview/1dcdeca78007b79c6cf5ffe3785f302e11b487e4?cid=92635a7f55d045ebb6fb8dee4927d449,207301,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Bad Bunny,Yonaguni,2JPLbjOn0wPCngEot2STUS,92,38,https://p.scdn.co/mp3-preview/b856944d671f2d8f997c18684e45bd5f19a0d2db?cid=92635a7f55d045ebb6fb8dee4927d449,206710,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Andy Williams,It's the Most Wonderful Time of the Year,1IcR6RlgvDczfvoWJSSY2A,67,39,https://p.scdn.co/mp3-preview/275c9394f2dce03245d4b6861eec4a40036ae82c?cid=92635a7f55d045ebb6fb8dee4927d449,151000,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Justin Bieber,Ghost,6I3mqTwhRpn34SLVafSH7G,88,40,,153190,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Swedish House Mafia,Moth To A Flame (with The Weeknd),2gpWyfu7eZ01zzncHpxOtA,93,41,,234000,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,92,42,,200040,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Billie Eilish,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,93,43,,298899,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,Adele,I Drink Wine,6v0UJD4a2FtleHeSYVX02A,87,44,https://p.scdn.co/mp3-preview/740f2aa6e454321010e7af01d0e0b1280200af39?cid=92635a7f55d045ebb6fb8dee4927d449,376169,2021-11-28T09:06:01Z
global,GO,2021-11-28 08:00:03.208356,zzoilo,Mon Amour - Remix,5TMLavqGRKNxgzMBrVpC9R,88,45,,179940,2021-11-28T09:06:01Z
