variable 1,variable 2,correlation
pl_count,loudness,0.10412319144443512
pl_count,mode,0.011045177475731638
pl_count,speechiness,-0.05234636038787728
pl_count,acousticness,-0.0841116017048573
pl_count,instrumentalness,-0.02143196081435112
pl_count,liveness,-0.008098555179158645
pl_count,valence,0.012344722212697367
pl_count,tempo,0.015834287889015787
pl_count,popularity,0.41058891305445344
pl_count,cluster,0.05672125985779592
pl_count,pl_count,1.0
