variable 1,variable 2,correlation,correlation_label
danceability,danceability,1.0,1.00
danceability,energy,0.18321911313915798,0.18
danceability,key,0.05522606586197148,0.06
danceability,loudness,0.15258345549223104,0.15
danceability,mode,-0.15046928659224376,-0.15
danceability,speechiness,0.24840482412904863,0.25
danceability,acousticness,-0.2867775878718064,-0.29
danceability,instrumentalness,-0.06107413047320808,-0.06
danceability,liveness,-0.039887462856437336,-0.04
danceability,valence,0.3682032632114799,0.37
danceability,tempo,-0.098594296399264,-0.10
danceability,cluster,0.21121976395984252,0.21
energy,danceability,0.18321911313915798,0.18
energy,energy,1.0,1.00
energy,key,0.08558224958491376,0.09
energy,loudness,0.7066707178328299,0.71
energy,mode,-0.09889252067413397,-0.10
energy,speechiness,0.06200924915886632,0.06
energy,acousticness,-0.5756509311802558,-0.58
energy,instrumentalness,-0.16417984676573083,-0.16
energy,liveness,0.16753630212834617,0.17
energy,valence,0.41792811438398564,0.42
energy,tempo,0.11306318556066923,0.11
energy,cluster,0.15577582168843426,0.16
key,danceability,0.05522606586197148,0.06
key,energy,0.08558224958491376,0.09
key,key,1.0,1.00
key,loudness,0.048700462276832106,0.05
key,mode,-0.14980216488929077,-0.15
key,speechiness,0.014469570788693441,0.01
key,acousticness,-0.027027172077231994,-0.03
key,instrumentalness,-0.006070172116679906,-0.01
key,liveness,0.011833684028253149,0.01
key,valence,0.053062550100342866,0.05
key,tempo,0.008649090499537783,0.01
key,cluster,0.07936196939600333,0.08
loudness,danceability,0.15258345549223104,0.15
loudness,energy,0.7066707178328299,0.71
loudness,key,0.048700462276832106,0.05
loudness,loudness,1.0,1.00
loudness,mode,-0.012967735179664815,-0.01
loudness,speechiness,-0.06072386117037619,-0.06
loudness,acousticness,-0.4009220830201689,-0.40
loudness,instrumentalness,-0.4065301404178311,-0.41
loudness,liveness,0.10273973521522256,0.10
loudness,valence,0.30695144071696767,0.31
loudness,tempo,0.054707918502814805,0.05
loudness,cluster,0.07120118247560037,0.07
mode,danceability,-0.15046928659224376,-0.15
mode,energy,-0.09889252067413397,-0.10
mode,key,-0.14980216488929077,-0.15
mode,loudness,-0.012967735179664815,-0.01
mode,mode,1.0,1.00
mode,speechiness,-0.12371374745563178,-0.12
mode,acousticness,0.058218882819733676,0.06
mode,instrumentalness,0.01905949196698721,0.02
mode,liveness,0.05456587330161245,0.05
mode,valence,-0.09647131688607474,-0.10
mode,tempo,-0.016326157346832182,-0.02
mode,cluster,-0.3324446656145195,-0.33
speechiness,danceability,0.24840482412904863,0.25
speechiness,energy,0.06200924915886632,0.06
speechiness,key,0.014469570788693441,0.01
speechiness,loudness,-0.06072386117037619,-0.06
speechiness,mode,-0.12371374745563178,-0.12
speechiness,speechiness,1.0,1.00
speechiness,acousticness,-0.09189996207419313,-0.09
speechiness,instrumentalness,-0.08906205965888805,-0.09
speechiness,liveness,0.036126801113548185,0.04
speechiness,valence,0.092628212946732,0.09
speechiness,tempo,0.06946136710736243,0.07
speechiness,cluster,-0.450477364071867,-0.45
acousticness,danceability,-0.2867775878718064,-0.29
acousticness,energy,-0.5756509311802558,-0.58
acousticness,key,-0.027027172077231994,-0.03
acousticness,loudness,-0.4009220830201689,-0.40
acousticness,mode,0.058218882819733676,0.06
acousticness,speechiness,-0.09189996207419313,-0.09
acousticness,acousticness,1.0,1.00
acousticness,instrumentalness,0.1114092761173138,0.11
acousticness,liveness,-0.02963593942532655,-0.03
acousticness,valence,-0.21427408088267294,-0.21
acousticness,tempo,-0.05680915418863722,-0.06
acousticness,cluster,-0.10572809572671293,-0.11
instrumentalness,danceability,-0.06107413047320808,-0.06
instrumentalness,energy,-0.16417984676573083,-0.16
instrumentalness,key,-0.006070172116679906,-0.01
instrumentalness,loudness,-0.4065301404178311,-0.41
instrumentalness,mode,0.01905949196698721,0.02
instrumentalness,speechiness,-0.08906205965888805,-0.09
instrumentalness,acousticness,0.1114092761173138,0.11
instrumentalness,instrumentalness,1.0,1.00
instrumentalness,liveness,-0.02757844758858373,-0.03
instrumentalness,valence,-0.12130325805565398,-0.12
instrumentalness,tempo,0.0011344413392036631,0.00
instrumentalness,cluster,0.2835723794170853,0.28
liveness,danceability,-0.039887462856437336,-0.04
liveness,energy,0.16753630212834617,0.17
liveness,key,0.011833684028253149,0.01
liveness,loudness,0.10273973521522256,0.10
liveness,mode,0.05456587330161245,0.05
liveness,speechiness,0.036126801113548185,0.04
liveness,acousticness,-0.02963593942532655,-0.03
liveness,instrumentalness,-0.02757844758858373,-0.03
liveness,liveness,1.0,1.00
liveness,valence,0.10904686302968176,0.11
liveness,tempo,0.0009475908798269626,0.00
liveness,cluster,0.08468337937165137,0.08
valence,danceability,0.3682032632114799,0.37
valence,energy,0.41792811438398564,0.42
valence,key,0.053062550100342866,0.05
valence,loudness,0.30695144071696767,0.31
valence,mode,-0.09647131688607474,-0.10
valence,speechiness,0.092628212946732,0.09
valence,acousticness,-0.21427408088267294,-0.21
valence,instrumentalness,-0.12130325805565398,-0.12
valence,liveness,0.10904686302968176,0.11
valence,valence,1.0,1.00
valence,tempo,0.08467255667310415,0.08
valence,cluster,0.1433117678535546,0.14
tempo,danceability,-0.098594296399264,-0.10
tempo,energy,0.11306318556066923,0.11
tempo,key,0.008649090499537783,0.01
tempo,loudness,0.054707918502814805,0.05
tempo,mode,-0.016326157346832182,-0.02
tempo,speechiness,0.06946136710736243,0.07
tempo,acousticness,-0.05680915418863722,-0.06
tempo,instrumentalness,0.0011344413392036631,0.00
tempo,liveness,0.0009475908798269626,0.00
tempo,valence,0.08467255667310415,0.08
tempo,tempo,1.0,1.00
tempo,cluster,-0.27231003126811326,-0.27
cluster,danceability,0.21121976395984252,0.21
cluster,energy,0.15577582168843426,0.16
cluster,key,0.07936196939600333,0.08
cluster,loudness,0.07120118247560037,0.07
cluster,mode,-0.3324446656145195,-0.33
cluster,speechiness,-0.450477364071867,-0.45
cluster,acousticness,-0.10572809572671293,-0.11
cluster,instrumentalness,0.2835723794170853,0.28
