country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo_1,duration_ms,popularity,basic_kmeans_cluster,chroma,chroma_cens,mff,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,Spectral_Rolloff,poly_features,tonnetz,ZCR,onset_strength,pitch,magnitude,tempo_2,adv_kmeans_cluster,pl_count
france,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
germany,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
greece,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
guatemala,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
honduras,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
hong_kong,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
hungary,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
iceland,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
indonesia,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
ireland,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
israel,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
italy,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
latvia,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
lithuania,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
luxembourg,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
malaysia,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
mexico,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
morocco,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
